,rain (mm),surface_pressure (hPa),dewpoint_2m (°C),windgusts_10m (km/h),diffuse_radiation (W/m²),Yield (mt/ha)
33,0.1387118090647593,0.9800661313179032,0.7316513761467891,0.2166666666666666,0.4380214541120382,0.2861083566997877
34,0.081104718961362,0.98308927727917,0.6731651376146788,0.2777777777777777,0.4153754469606672,0.2658972911279872
35,0.2148410168700925,0.9811998110533776,0.7534403669724767,0.4388888888888888,0.3331346841477942,0.3472340495570707
36,0.2017219933141568,0.9781766650921124,0.7545871559633026,0.2777777777777777,0.3104886769964241,0.2926596428048751
37,0.2952071833942316,0.977704298535663,0.7649082568807337,0.3166666666666666,0.2634088200238378,0.2862180841410283
38,0.4337829433258182,0.9710911667453956,0.7924311926605503,0.2166666666666666,0.3337306317044102,0.2488910015868302
39,0.1821697893181995,0.987529522909778,0.7477064220183482,0.2388888888888888,0.1108462455303933,0.2870643845762909
40,0.1790017880743216,0.9841284837033548,0.7339449541284404,0.2777777777777777,0.094159713945173,0.1496285299834973
41,0.4241040192801057,0.9697685403873422,0.7981651376146788,0.3166666666666666,0.4576877234803329,0.1482612511971691
42,0.3683627458602193,0.9677846008502602,0.7947247706422016,0.3388888888888888,0.4415971394517277,0.0807432213804832
43,0.3104641219000233,0.9704298535663672,0.7993119266055047,0.261111111111111,0.4052443384982118,0.0786993981168095
44,0.2077081551737541,0.9793103448275868,0.7717889908256876,0.261111111111111,0.2461263408820024,0.0779813517503423
45,0.2728368187825546,0.978460085025981,0.7798165137614674,0.1999999999999999,0.4445768772348031,0.0686042890064043
46,0.1671460778978465,0.9751535191308456,0.7809633027522933,0.1611111111111111,0.2932061978545888,0.0661143050859712
47,0.3158672160460235,0.9788379782711392,0.7683486238532105,0.261111111111111,0.2842669845053636,0.0743419121518408
48,0.2221487988805099,0.975625885687295,0.7821100917431187,0.2388888888888888,0.302145411203814,0.0711803564009881
49,0.272545284925756,0.9713745866792642,0.7832568807339446,0.2166666666666666,0.3581644815256255,0.0736202736917854
50,0.3503265179196143,0.970807746811527,0.7809633027522933,0.3611111111111111,0.4117997616209776,0.0762911499231048
51,0.3630179584855788,0.9697685403873422,0.7935779816513762,0.3,0.3569725864123954,0.0726988100920184
52,0.2756938505791806,0.97628719886632,0.7947247706422016,0.2777777777777777,0.2091775923718706,0.062507476082115
53,0.4686892637798336,0.967406707605102,0.8314220183486234,0.2777777777777777,0.6066746126340878,0.047060850080981
54,0.2351706444841794,0.970996693434106,0.7889908256880735,0.2166666666666666,0.3206197854588795,0.044995769946409
55,0.3785469952577159,0.9725082664147386,0.8153669724770638,0.2388888888888888,0.3927294398092962,0.0074310785652033
56,0.5936018036227941,0.975436939064716,0.8130733944954125,0.261111111111111,0.3831942789034559,0.0014936860331707
57,0.2894736842105263,0.9842229570146444,0.7889908256880735,0.261111111111111,0.1311084624553036,0.0019557837843854
58,0.2226929954132006,0.979877184695324,0.7958715596330275,0.3,0.2824791418355183,0.0
59,0.4206444841794294,0.9743032593292398,0.8497706422018347,0.2388888888888888,0.5244338498212158,0.014028988213177
60,0.2548588976133095,0.9732640529050548,0.8107798165137612,0.1999999999999999,0.3206197854588795,0.0134758817974068
61,0.158361191012983,0.982333490788852,0.7603211009174311,0.3166666666666666,0.2729439809296781,0.0149139292080237
62,0.2414094690196688,0.9795937647614554,0.8061926605504586,0.3,0.3444576877234806,0.0158089704771088
63,0.4733343698981576,0.9735474728389236,0.8417431192660545,0.1999999999999999,0.3671036948748507,0.0156559553877295
64,0.1719077975588898,0.9867737364194618,0.9380733944954124,0.4166666666666666,0.2616209773539935,0.1361858017098849
65,0.076284692528959,0.9886632026452542,0.8967889908256876,0.4611111111111111,0.4648390941597138,0.1461236286263879
66,0.1337362979087304,0.9916863486065192,0.8933486238532109,0.4166666666666666,0.6144219308700829,0.1390286251956813
67,0.1648721138148177,0.9904581955597552,0.9059633027522932,0.4388888888888888,0.4791418355184738,0.1326504694394575
68,0.1807704268055663,0.9884742560226752,0.9208715596330276,0.3999999999999999,0.4421930870083437,0.1316356794384738
69,0.2363562155018269,0.985923476617856,0.9323394495412844,0.4388888888888888,0.570917759237187,0.1278548612222834
70,0.301543185881987,0.9805384978743508,0.9495412844036696,0.3999999999999999,0.6686531585220501,0.1193580041088712
71,0.1104524605457513,0.9962210675484188,0.9139908256880732,0.4611111111111111,0.3462455303933249,0.1650961238021745
72,0.2364728290445464,0.991119508738782,0.9426605504587156,0.5166666666666666,0.3659117997616214,0.1585966340007602
73,0.3587809997667729,0.9793103448275868,0.955275229357798,0.4388888888888888,0.8873659117997614,0.1457356778727737
74,0.2964899323641452,0.9777987718469544,0.9655963302752292,0.3166666666666666,0.8057210965435035,0.2083256005338405
75,0.2898040892482313,0.9809163911195088,0.9713302752293576,0.3999999999999999,0.6531585220500591,0.2023493125708385
76,0.0981886029697582,0.9882853094000944,0.9208715596330276,0.3166666666666666,0.2800953516090581,0.1983993686060549
77,0.1585749825079686,0.987529522909778,0.915137614678899,0.3,0.5083432657926106,0.2399856563295873
