,Wind_Direction,Wind_Speed_(km/h),temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),surface_pressure (hPa),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²),rain (mm),weathercode (wmo code),windgusts_10m (km/h),cloudcover (%),Production (mt),Area (ha),Yield (mt/ha)
612,0.38461538461538464,0.9419087136929462,0.7819225251076043,0.5075471698113203,0.7580275229357794,0.7439773264052914,0.8095238095238102,0.4545454545454546,0.8177006762716847,0.4193548387096774,0.7934557682359029,0.39332538736591127,0.06522584156106664,0.0,0.4166666666666666,1.0,0.16592107359835115,0.06844287364915382,0.769118348229897
613,0.23076923076923078,0.31120331950207475,0.7888091822094689,0.5094339622641506,0.7649082568807337,0.742465753424657,0.8095238095238102,0.4545454545454546,0.7824169361952369,0.4516129032258066,0.8538541127780654,0.36889153754469595,0.04147555002720982,0.0,0.6777777777777776,1.0,0.17041620306295063,0.06844287364915382,0.7901158022044714
614,0.23076923076923078,0.3568464730290457,0.7899569583931134,0.475471698113207,0.7545871559633026,0.7445441662730286,0.8095238095238102,0.48484848484848486,0.8094678035871801,0.3548387096774194,0.7252974650801864,0.49344457687723464,0.07877244810697351,0.0,0.5388888888888888,1.0,0.17091024979977193,0.06844287364915382,0.7924235720005702
615,0.6923076923076923,0.29460580912863077,0.7968436154949785,0.4918238993710693,0.7660550458715591,0.7420878601794989,0.8095238095238102,0.4696969696969697,0.7718318141723017,0.4516129032258066,0.7424987066735647,0.5655542312276514,0.0417087771126487,0.0,0.43888888888888883,1.0,0.17136602531050144,0.06844287364915382,0.7945525707590839
616,0.6153846153846154,0.5601659751037346,0.7899569583931134,0.5018867924528294,0.7637614678899078,0.7371752479924432,0.8095238095238102,0.4696969696969697,0.7800646868568064,0.5161290322580646,0.6580444904293843,0.5458879618593566,0.14518386068568764,0.0,0.43888888888888883,1.0,0.17718603503835129,0.06844287364915382,0.8217387476645379
617,0.6153846153846154,0.5601659751037346,0.7601147776183645,0.5660377358490569,0.7580275229357794,0.7361360415682583,0.6190476190476195,0.39393939393939403,0.6683328432813878,0.8064516129032259,0.5494050698396276,0.7216924910607863,0.17818549327528574,0.0,0.49999999999999994,1.0,0.1817973698621749,0.06939441310405764,0.8317800191771402
618,0.38461538461538464,0.5477178423236515,0.799139167862267,0.540251572327044,0.7878440366972477,0.7372697213037327,0.8095238095238102,0.43939393939393945,0.722434578065275,0.6451612903225806,0.6892136575271601,0.5840286054827177,0.10372774624893102,0.0,0.4777777777777777,1.0,0.17393089329912584,0.06939441310405764,0.7955315161528562
619,0.15384615384615385,0.41493775933609967,0.8060258249641321,0.5465408805031444,0.7958715596330275,0.739631554085971,0.6190476190476195,0.43939393939393945,0.7718318141723017,0.6451612903225806,0.7069322296947751,0.4243146603098924,0.1968825312913006,0.0,0.3611111111111111,1.0,0.1775492637659861,0.06939441310405764,0.8122048653448115
620,0.6923076923076923,0.6141078838174274,0.7681492109038737,0.5792452830188681,0.7706422018348622,0.7338686820973077,0.6190476190476195,0.39393939393939403,0.6659805939429577,0.8064516129032259,0.4269270563890326,0.9564958283671037,0.186212392132473,0.0,0.661111111111111,1.0,0.18568015970930568,0.06973424862366615,0.8455540308040855
621,0.6923076923076923,0.46887966804979264,0.7738880918220947,0.5817610062893088,0.7775229357798161,0.7372697213037327,0.6190476190476195,0.39393939393939403,0.6847985886503967,0.7741935483870969,0.6144593895499224,0.6406436233611443,0.1460390266656301,0.0,0.6777777777777776,1.0,0.17843993957321322,0.06973424862366615,0.8123516978119117
