,Location,Year,Production (mt),Area (ha),Yield (mt/ha)
151,MISAMIS ORIENTAL,1996,561.84,684,0.821403509
152,DAVAO DEL NORTE,1996,12570.29,12344,1.018331983
153,DAVAO DEL SUR,1996,6527.05,5120,1.274814453
154,DAVAO ORIENTAL,1996,1378.81,1482,0.93037112
155,DAVAO CITY,1996,6546.79,5610,1.16698574
156,COTABATO,1996,620.3,1400,0.443071429
157,SARANGANI,1996,167.58,144,1.16375
158,SULTAN KUDARAT,1996,6994.46,7211,0.969970878
159,SOUTH COTABATO,1996,1657.25,970,1.708505155
160,AGUSAN DEL NORTE,1996,250.06,213,1.17399061
161,AGUSAN DEL SUR,1996,647.12,839.82,0.770546069
162,SURIGAO DEL NORTE,1996,6.41,12,0.534166667
163,SURIGAO DEL SUR,1996,3348.7,2757,1.214617338
164,BASILAN,1996,1058.55,2784,0.380226293
165,LANAO DEL SUR,1996,240.07,1840,0.130472826
166,MAGUINDANAO,1996,3202.16,3262,0.981655426
167,SULU,1996,2219.89,1014,2.189240631
168,ZAMBOANGA DEL NORTE,1997,127.48,153,0.833202614
169,ZAMBOANGA DEL SUR,1997,107.93,154,0.700844156
170,ZAMBOANGA CITY,1997,157.5,175,0.9
171,BUKIDNON,1997,4554,11385,0.4
172,CAMIGUIN,1997,124.27,61.15,2.032215863
173,LANAO DEL NORTE,1997,60.2,188,0.320212766
174,MISAMIS OCCIDENTAL,1997,8.95,114,0.078508772
175,MISAMIS ORIENTAL,1997,505.16,684,0.738538012
176,DAVAO DEL NORTE,1997,12085.42,12484,0.968072733
177,DAVAO DEL SUR,1997,6160.99,4690,1.313643923
178,DAVAO ORIENTAL,1997,1297.37,1493,0.86896852
179,DAVAO CITY,1997,6600.25,5612,1.176095866
180,COTABATO,1997,738.5,1403,0.52637206
181,SARANGANI,1997,158.26,144,1.099027778
182,SULTAN KUDARAT,1997,8694.3,7211,1.205699626
183,SOUTH COTABATO,1997,1695.04,1045,1.622047847
184,AGUSAN DEL NORTE,1997,258.22,215,1.201023256
185,AGUSAN DEL SUR,1997,664.18,750,0.885573333
186,SURIGAO DEL NORTE,1997,5.13,20,0.2565
187,SURIGAO DEL SUR,1997,3248,2700,1.202962963
188,BASILAN,1997,1459.86,2818,0.518048261
189,LANAO DEL SUR,1997,308.66,1954,0.157963153
190,MAGUINDANAO,1997,3265.53,3262,1.001082158
191,SULU,1997,2218.59,1014,2.18795858
192,ZAMBOANGA DEL NORTE,1998,125.9,153,0.822875817
193,ZAMBOANGA DEL SUR,1998,105.15,153,0.687254902
194,ZAMBOANGA CITY,1998,141.1,166,0.85
195,BUKIDNON,1998,4556.16,11385,0.400189723
196,CAMIGUIN,1998,111.44,55,2.026181818
197,LANAO DEL NORTE,1998,59.14,188,0.314574468
198,MISAMIS OCCIDENTAL,1998,7.69,100,0.0769
199,MISAMIS ORIENTAL,1998,404.13,492,0.821402439
200,DAVAO DEL NORTE,1998,11796.03,12484,0.944891862
201,DAVAO DEL SUR,1998,5279.59,4220,1.251087678
202,DAVAO ORIENTAL,1998,1296.04,1487,0.871580363
203,DAVAO CITY,1998,6545.46,5612,1.166332858
204,COTABATO,1998,715.67,1403,0.510099786
205,SARANGANI,1998,211.12,144,1.466111111
206,SULTAN KUDARAT,1998,5409.02,7358,0.735120957
207,SOUTH COTABATO,1998,1491.83,1045,1.427588517
208,AGUSAN DEL NORTE,1998,265.78,216,1.230462963
209,AGUSAN DEL SUR,1998,353.58,750,0.47144
210,SURIGAO DEL NORTE,1998,4.92,20,0.246
211,SURIGAO DEL SUR,1998,3199.36,2700,1.184948148
212,BASILAN,1998,1404.67,2818,0.498463449
213,LANAO DEL SUR,1998,273.35,1950,0.140179487
214,MAGUINDANAO,1998,3321.04,3425,0.969646715
215,SULU,1998,2215.04,1014,2.184457594
216,ZAMBOANGA DEL NORTE,1999,133.5,160,0.834375
217,ZAMBOANGA DEL SUR,1999,104.87,152,0.689934211
218,ZAMBOANGA CITY,1999,98,140,0.7
219,BUKIDNON,1999,4567.23,11385,0.401162055
220,CAMIGUIN,1999,85.14,49,1.73755102
221,LANAO DEL NORTE,1999,136.49,200,0.68245
222,MISAMIS OCCIDENTAL,1999,5.45,100,0.0545
223,MISAMIS ORIENTAL,1999,320.34,390,0.821384615
224,DAVAO DE ORO,1999,11117.13,11495,0.967127447
225,DAVAO DEL NORTE,1999,597.48,605,0.987570248
226,DAVAO DEL SUR,1999,4814.91,3800,1.267081579
227,DAVAO ORIENTAL,1999,1322.96,1497,0.883740815
228,DAVAO CITY,1999,6618.91,5612,1.179420884
229,COTABATO,1999,890,1039,0.856592878
230,SARANGANI,1999,211.33,144,1.467569444
231,SULTAN KUDARAT,1999,4228.89,10258,0.412252876
232,SOUTH COTABATO,1999,1509.73,1045,1.444717703
233,AGUSAN DEL NORTE,1999,242.32,212,1.143018868
234,AGUSAN DEL SUR,1999,350.49,750,0.46732
235,SURIGAO DEL NORTE,1999,5.66,20,0.283
236,SURIGAO DEL SUR,1999,3199.46,2700,1.184985185
