,Year,Location,Wind_Direction,Wind_Speed_(km/h),temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),surface_pressure (hPa),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²),rain (mm),weathercode (wmo code),windgusts_10m (km/h),cloudcover (%),Production (mt),Area (ha),Yield (mt/ha)
0,1990,AGUSAN DEL NORTE,6,4.1,25.15,78.36,20.88,975.3,0.16,0.75,26.01,0.28,140.02,70.89,1701.0,1,9.4,100,226.68,200.0,1.1334
1,1991,AGUSAN DEL NORTE,8,3.1,25.06,77.99,20.73,975.55,0.16,0.76,25.89,0.27,138.79,73.8,1634.2,1,11.5,100,231.68,204.0,1.135686275
2,1992,AGUSAN DEL NORTE,8,3.1,25.39,74.29,20.11,975.9,0.17,0.92,26.9,0.21,144.62,73.53,1433.2,1,7.9,100,219.08,199.0,1.100904523
3,1993,AGUSAN DEL NORTE,8,3.6,24.92,79.6,20.94,975.66,0.15,0.7,25.73,0.28,136.18,72.02,2017.8,1,8.3,100,231.47,203.0,1.140246305
4,1994,AGUSAN DEL NORTE,6,3.6,24.96,79.45,20.96,975.32,0.15,0.7,25.74,0.29,137.68,71.24,1722.0,1,8.6,100,238.09,208.0,1.144663462
5,1995,AGUSAN DEL NORTE,8,3.1,24.98,79.8,21.04,975.32,0.15,0.69,25.96,0.28,134.48,70.57,2191.8,1,9.4,100,243.59,211.0,1.154454976
6,1996,AGUSAN DEL NORTE,6,3.6,24.64,82.77,21.38,974.6,0.14,0.58,25.33,0.35,126.71,71.4,2787.9,51,9.0,100,250.06,213.0,1.17399061
7,1997,AGUSAN DEL NORTE,6,3.1,24.79,80.12,20.95,976.27,0.15,0.68,25.49,0.31,141.1,68.02,1906.2,1,8.3,100,258.22,215.0,1.201023256
8,1998,AGUSAN DEL NORTE,8,5.4,25.74,75.04,20.63,976.13,0.17,0.91,27.07,0.21,149.94,68.25,1531.9,1,8.6,100,265.78,216.0,1.230462963
9,1999,AGUSAN DEL NORTE,8,3.6,24.5,83.77,21.46,974.47,0.14,0.53,25.23,0.38,121.62,73.48,2871.6,1,11.2,100,242.32,212.0,1.143018868
10,2000,AGUSAN DEL NORTE,8,3.1,24.64,82.88,21.41,974.28,0.14,0.57,25.22,0.37,123.48,73.52,2651.3,1,9.4,100,266.77,214.0,1.246588785
11,2001,AGUSAN DEL NORTE,6,3.1,24.81,82.09,21.41,974.54,0.15,0.6,25.36,0.37,126.84,72.8,2353.3,1,11.2,100,269.16,214.0,1.257757009
12,2002,AGUSAN DEL NORTE,6,3.1,24.84,80.78,21.16,975.44,0.15,0.65,25.37,0.33,135.35,70.14,1854.5,1,9.4,100,272.86,214.0,1.275046729
13,2003,AGUSAN DEL NORTE,6,3.6,24.88,81.12,21.25,975.34,0.14,0.64,25.67,0.3,123.89,73.17,2220.0,1,8.3,100,320.58,262.0,1.223587786
14,2004,AGUSAN DEL NORTE,6,3.6,25.12,79.94,21.23,975.01,0.15,0.69,25.84,0.29,139.04,70.98,1440.0,1,7.9,100,329.2,263.0,1.251711027
15,2005,AGUSAN DEL NORTE,6,3.1,25.09,79.33,21.06,975.42,0.15,0.71,26.07,0.26,133.55,70.84,2242.4,1,9.0,100,305.84,263.0,1.162889734
16,2006,AGUSAN DEL NORTE,8,3.1,25.05,80.11,21.21,975.1,0.15,0.68,25.66,0.32,134.18,71.13,1902.5,1,8.6,100,319.76,260.0,1.229846154
17,2007,AGUSAN DEL NORTE,8,3.6,25.05,80.21,21.23,974.68,0.15,0.68,25.81,0.29,129.42,71.75,2381.2,1,10.4,100,390.0,285.0,1.368421053
18,2008,AGUSAN DEL NORTE,8,3.1,24.76,81.58,21.25,974.61,0.15,0.62,25.32,0.35,127.42,72.8,2576.3,1,11.5,100,448.0,285.0,1.571929825
19,2009,AGUSAN DEL NORTE,6,3.6,25.08,80.8,21.38,974.49,0.14,0.66,25.66,0.32,124.33,71.91,2754.4,1,10.1,100,199.5,285.0,0.7
20,2010,AGUSAN DEL NORTE,8,3.6,25.23,79.66,21.28,975.25,0.15,0.71,25.96,0.3,138.56,69.2,2014.1,1,10.8,100,172.96,300.0,0.576533333
21,2011,AGUSAN DEL NORTE,8,3.6,24.61,84.7,21.78,974.22,0.14,0.5,25.25,0.39,113.39,75.86,3301.3,1,7.9,100,95.54,300.0,0.318466667
22,2012,AGUSAN DEL NORTE,8,2.8,24.98,80.77,21.3,974.65,0.15,0.65,25.48,0.35,130.26,71.51,2306.0,1,7.9,100,78.66,386.0,0.203782383
23,2013,AGUSAN DEL NORTE,8,4.1,24.87,82.48,21.54,974.78,0.14,0.59,25.46,0.36,124.98,72.69,2731.4,1,11.5,100,62.42,386.0,0.161709845
24,2014,AGUSAN DEL NORTE,6,4.1,24.7,83.36,21.57,975.02,0.14,0.56,25.24,0.37,117.11,72.5,3327.8,1,8.6,100,68.82,386.0,0.178290155
25,2015,AGUSAN DEL NORTE,6,3.1,24.96,80.94,21.29,975.96,0.15,0.65,25.65,0.33,139.09,68.12,2182.3,1,7.9,100,78.53,386.0,0.203445596
26,2016,AGUSAN DEL NORTE,8,3.6,25.72,77.51,21.23,975.63,0.16,0.81,26.59,0.28,138.03,71.18,2022.5,1,10.8,100,88.87,410.0,0.216756098
27,2017,AGUSAN DEL NORTE,8,3.1,24.93,83.73,21.89,974.96,0.14,0.55,25.52,0.38,115.69,74.44,2796.8,1,8.6,100,84.0,410.0,0.204878049
28,2018,AGUSAN DEL NORTE,6,4.1,25.29,80.11,21.44,974.86,0.15,0.69,25.89,0.32,136.77,71.13,1979.2,1,7.9,100,80.32,410.0,0.195902439
29,2019,AGUSAN DEL NORTE,8,3.6,25.48,77.08,20.94,975.81,0.16,0.81,26.32,0.26,141.14,70.61,1633.5,1,9.0,100,90.38,410.0,0.220439024
30,2020,AGUSAN DEL NORTE,8,3.6,25.59,78.31,21.3,975.6,0.15,0.77,26.56,0.26,130.85,71.54,2079.5,1,7.9,100,127.0,415.0,0.306024096
31,2021,AGUSAN DEL NORTE,8,1.3,25.08,82.36,21.74,974.91,0.14,0.6,25.64,0.38,124.56,71.93,3150.3,1,9.0,100,144.31,620.0,0.232758065
32,1990,AGUSAN DEL SUR,6,3.6,26.53,79.11,22.4,1008.17,0.16,0.78,27.1,0.38,146.6,68.39,1511.4,1,10.4,100,1830.19,1738.0,1.053043728
33,1991,AGUSAN DEL SUR,6,8.7,26.46,78.69,22.26,1008.43,0.16,0.79,26.94,0.38,145.97,71.11,1408.8,1,10.4,100,1409.66,1597.0,0.882692549
34,1992,AGUSAN DEL SUR,6,5.9,26.8,75.36,21.75,1008.75,0.17,0.95,28.08,0.31,152.79,70.73,1112.4,1,11.5,100,1312.4,1597.0,0.821790858
35,1993,AGUSAN DEL SUR,6,6.4,26.28,80.3,22.45,1008.55,0.16,0.73,26.77,0.39,143.62,69.35,1800.5,1,14.4,100,1703.81,1597.0,1.066881653
36,1994,AGUSAN DEL SUR,6,9.2,26.35,80.07,22.46,1008.23,0.16,0.74,26.8,0.4,143.0,68.97,1733.0,1,11.5,100,1418.49,1571.85,0.902433438
37,1995,AGUSAN DEL SUR,8,5.4,26.27,80.87,22.55,1008.18,0.16,0.71,26.87,0.4,141.04,68.18,2214.0,1,12.2,100,1387.98,1571.85,0.883023189
38,1996,AGUSAN DEL SUR,8,5.9,25.93,83.44,22.79,1007.48,0.15,0.6,26.42,0.44,132.36,69.36,2927.0,51,10.4,100,647.12,839.82,0.770546069
39,1997,AGUSAN DEL SUR,6,5.9,26.17,80.59,22.4,1009.22,0.16,0.71,26.67,0.38,148.56,65.62,1632.4,1,10.8,100,664.18,750.0,0.885573333
40,1998,AGUSAN DEL SUR,8,5.4,27.07,76.51,22.28,1008.86,0.17,0.92,28.15,0.34,158.03,65.34,1616.1,1,11.5,100,353.58,750.0,0.47144
41,1999,AGUSAN DEL SUR,8,5.4,25.79,84.3,22.84,1007.34,0.15,0.56,26.36,0.46,127.56,71.44,2877.2,1,12.2,100,350.49,750.0,0.46732
42,2000,AGUSAN DEL SUR,6,8.7,25.97,83.38,22.81,1007.13,0.15,0.6,26.36,0.44,129.36,71.17,2590.4,1,12.6,100,382.61,1450.0,0.263868966
43,2001,AGUSAN DEL SUR,6,5.4,26.17,82.57,22.85,1007.41,0.15,0.63,26.51,0.44,132.58,70.56,2292.5,1,11.2,100,373.68,1450.0,0.257710345
44,2002,AGUSAN DEL SUR,6,5.4,26.22,81.21,22.61,1008.35,0.16,0.69,26.5,0.42,141.57,67.89,1763.8,1,11.2,100,383.32,1500.0,0.255546667
45,2003,AGUSAN DEL SUR,6,6.9,26.22,81.68,22.68,1008.26,0.15,0.67,26.68,0.42,129.95,71.22,2098.9,1,10.1,100,375.03,1650.0,0.227290909
46,2004,AGUSAN DEL SUR,6,5.9,26.46,80.62,22.69,1007.91,0.16,0.72,26.81,0.4,144.45,68.68,1555.1,1,9.4,100,362.65,1650.0,0.219787879
47,2005,AGUSAN DEL SUR,6,7.9,26.4,80.35,22.58,1008.3,0.16,0.73,26.93,0.4,139.93,68.53,2320.3,1,11.2,100,366.87,1500.0,0.24458
48,2006,AGUSAN DEL SUR,6,5.4,26.38,80.95,22.7,1007.96,0.16,0.7,26.65,0.42,140.02,68.83,1838.1,1,10.8,100,352.58,1500.0,0.235053333
49,2007,AGUSAN DEL SUR,6,5.4,26.38,81.02,22.71,1007.51,0.15,0.7,26.79,0.4,135.68,69.77,2097.4,1,10.4,100,352.7,1455.0,0.242405498
50,2008,AGUSAN DEL SUR,8,5.4,26.07,82.32,22.69,1007.45,0.15,0.64,26.42,0.45,133.91,70.67,2497.6,1,13.0,100,364.41,1455.0,0.250453608
51,2009,AGUSAN DEL SUR,6,5.9,26.43,81.32,22.8,1007.34,0.15,0.7,26.84,0.4,130.73,69.75,2562.9,1,11.9,100,348.66,1455.0,0.239628866
52,2010,AGUSAN DEL SUR,8,5.4,26.56,80.62,22.81,1008.03,0.16,0.72,26.94,0.42,145.08,67.27,2113.6,1,11.5,100,303.56,1453.0,0.208919477
53,2011,AGUSAN DEL SUR,6,5.9,25.93,84.96,23.13,1007.09,0.14,0.53,26.41,0.46,119.85,73.94,3106.6,1,11.5,100,235.93,1453.0,0.162374398
54,2012,AGUSAN DEL SUR,6,5.9,26.34,81.36,22.76,1007.47,0.15,0.68,26.64,0.43,137.27,69.14,1905.1,1,10.4,100,226.42,1450.0,0.156151724
55,2013,AGUSAN DEL SUR,6,5.4,26.21,83.07,22.99,1007.63,0.15,0.62,26.57,0.45,131.53,70.35,2642.8,1,10.8,100,62.29,1450.0,0.042958621
56,2014,AGUSAN DEL SUR,6,8.4,26.03,83.83,22.97,1007.94,0.14,0.58,26.33,0.45,122.68,70.19,3749.3,1,11.2,100,37.1,1480.0,0.025067568
57,2015,AGUSAN DEL SUR,6,5.4,26.36,81.38,22.76,1008.87,0.16,0.69,26.77,0.41,146.07,65.96,2184.5,1,11.2,100,39.69,1500.0,0.02646
58,2016,AGUSAN DEL SUR,6,5.4,27.02,78.84,22.82,1008.41,0.16,0.82,27.57,0.4,145.62,68.5,1840.9,1,11.9,100,30.85,1500.0,0.020566667
59,2017,AGUSAN DEL SUR,6,3.6,26.28,84.09,23.29,1007.82,0.14,0.58,26.67,0.46,121.93,72.56,2859.4,1,10.8,100,94.26,1500.0,0.06284
60,2018,AGUSAN DEL SUR,6,11.5,26.69,80.7,22.95,1007.71,0.16,0.73,27.06,0.41,142.07,69.14,2006.4,1,10.1,100,91.76,1500.0,0.061173333
61,2019,AGUSAN DEL SUR,6,5.4,26.91,77.85,22.51,1008.67,0.17,0.84,27.34,0.38,147.7,68.34,1509.9,1,12.2,100,99.57,1520.0,0.065506579
62,2020,AGUSAN DEL SUR,8,5.4,26.91,79.61,22.91,1008.38,0.16,0.78,27.46,0.39,137.0,69.54,1937.2,1,11.9,100,113.9,1670.0,0.068203593
63,2021,AGUSAN DEL SUR,6,5.9,26.52,82.7,23.22,1007.74,0.15,0.64,26.83,0.45,130.71,69.92,3130.5,1,10.1,100,113.13,1670.0,0.067742515
64,1990,BASILAN,11,5.4,27.2,83.59,24.06,1009.14,0.18,0.62,28.68,0.25,173.59,68.15,1579.6,1,14.0,100,1168.26,2711.0,0.430933235
65,1991,BASILAN,10,7.7,27.28,81.51,23.7,1009.34,0.18,0.7,28.78,0.21,172.92,71.56,1087.6,1,14.8,100,1311.2,2845.0,0.460878735
66,1992,BASILAN,11,4.7,27.18,81.93,23.67,1009.66,0.18,0.69,28.86,0.22,168.18,74.07,1383.2,1,14.0,100,1246.86,2837.0,0.439499471
67,1993,BASILAN,6,4.1,27.07,82.82,23.78,1009.53,0.18,0.64,28.42,0.24,167.43,71.8,1543.4,1,14.4,100,1169.64,2783.0,0.420280273
68,1994,BASILAN,10,6.9,27.05,83.47,23.91,1009.32,0.17,0.62,28.31,0.26,165.49,71.18,1625.2,1,13.7,100,1161.13,2783.0,0.417222422
69,1995,BASILAN,8,6.9,27.06,83.94,24.01,1009.05,0.17,0.6,28.46,0.26,159.33,73.34,1911.2,1,14.4,100,1129.83,2784.0,0.405829741
70,1996,BASILAN,7,4.7,26.76,86.0,24.16,1008.48,0.16,0.51,28.05,0.29,151.69,74.98,2246.6,51,13.7,100,1058.55,2784.0,0.380226293
71,1997,BASILAN,8,3.6,27.03,83.28,23.85,1010.14,0.18,0.62,28.29,0.25,173.45,69.57,1263.4,1,14.8,100,1459.86,2818.0,0.518048261
72,1998,BASILAN,8,5.1,27.56,82.27,24.1,1009.6,0.18,0.69,29.27,0.24,166.65,69.9,1911.8,1,15.8,100,1404.67,2818.0,0.498463449
73,1999,BASILAN,2,5.6,26.67,86.68,24.21,1008.35,0.16,0.48,27.85,0.31,136.71,78.65,2541.1,51,14.4,100,1441.19,3135.0,0.459709729
74,2000,BASILAN,6,5.4,26.81,86.42,24.3,1008.19,0.16,0.5,28.01,0.31,146.33,77.28,2220.6,51,12.2,100,1884.64,2907.0,0.648310974
75,2001,BASILAN,0,5.4,26.85,86.49,24.35,1008.52,0.16,0.49,28.08,0.31,150.88,74.72,2186.2,1,13.7,100,1832.29,2907.0,0.630302718
76,2002,BASILAN,4,3.1,27.24,82.56,23.91,1009.3,0.18,0.66,28.54,0.23,172.04,68.46,1200.3,1,12.2,100,1797.69,2907.0,0.618400413
77,2003,BASILAN,4,5.4,27.17,82.77,23.86,1009.22,0.17,0.65,28.7,0.24,160.88,72.29,1511.0,1,11.9,100,2161.97,2907.0,0.74371173
78,2004,BASILAN,12,10.0,27.06,84.37,24.1,1009.05,0.17,0.59,28.39,0.25,165.57,70.94,1395.2,1,13.7,100,1785.11,2907.0,0.614072927
79,2005,BASILAN,12,5.2,27.14,83.5,23.99,1009.28,0.17,0.62,28.57,0.26,157.55,73.53,1895.5,1,12.2,100,1741.56,2907.0,0.599091847
80,2006,BASILAN,11,4.7,26.96,86.15,24.38,1009.03,0.16,0.51,28.19,0.28,155.12,74.06,1742.1,1,14.0,100,1767.95,2907.0,0.608169935
81,2007,BASILAN,12,5.0,26.99,85.67,24.31,1008.5,0.16,0.53,28.24,0.29,151.32,74.11,2104.5,1,11.9,100,1782.84,2907.0,0.613292054
82,2008,BASILAN,2,6.6,26.75,86.7,24.29,1008.42,0.16,0.48,27.95,0.31,144.75,76.63,2524.3,51,13.3,100,1735.5,2907.0,0.597007224
83,2009,BASILAN,13,8.9,27.05,86.12,24.47,1008.5,0.16,0.51,28.24,0.3,151.29,76.12,1843.9,1,12.6,100,1720.25,2907.0,0.591761266
84,2010,BASILAN,2,5.2,27.44,83.6,24.3,1008.75,0.17,0.63,28.76,0.28,158.24,71.63,2304.5,1,11.2,100,1675.0,2907.0,0.57619539
85,2011,BASILAN,11,4.0,26.81,87.03,24.43,1008.16,0.16,0.47,27.95,0.32,136.17,80.29,2729.4,1,13.0,100,1644.5,2907.0,0.565703474
86,2012,BASILAN,10,5.4,26.91,86.55,24.42,1008.53,0.16,0.49,28.1,0.3,148.69,75.34,2281.3,1,13.7,100,1594.66,2907.0,0.548558652
87,2013,BASILAN,11,4.7,26.98,86.36,24.44,1008.64,0.16,0.5,28.13,0.3,144.3,74.66,2640.8,1,13.7,100,1549.28,2907.0,0.532948056
88,2014,BASILAN,11,4.7,27.04,84.92,24.2,1009.07,0.17,0.56,28.3,0.29,157.16,73.4,1821.7,1,13.0,100,1516.0,2907.0,0.521499828
89,2015,BASILAN,11,4.0,27.29,82.78,24.0,1009.85,0.18,0.65,28.58,0.25,170.35,69.35,1403.7,1,13.7,100,1515.0,2907.0,0.521155831
90,2016,BASILAN,11,4.0,27.65,83.37,24.44,1009.35,0.17,0.65,29.16,0.25,163.16,71.15,2076.4,1,13.7,100,1470.0,2907.0,0.505675955
91,2017,BASILAN,12,6.8,27.11,86.46,24.6,1008.81,0.16,0.5,28.28,0.32,140.02,77.25,2674.1,1,12.6,100,1474.1,2907.0,0.507086343
92,2018,BASILAN,6,3.6,27.29,85.32,24.54,1008.84,0.17,0.55,28.51,0.29,160.59,72.31,1718.6,1,12.2,100,1590.21,2907.0,0.547027864
93,2019,BASILAN,10,5.4,27.64,81.23,24.0,1009.65,0.18,0.73,29.08,0.23,173.22,68.99,1383.1,1,11.9,100,1544.0,2907.0,0.531131751
94,2020,BASILAN,11,4.0,27.56,82.93,24.28,1009.22,0.17,0.66,28.88,0.26,156.01,70.47,2371.8,1,13.7,100,1578.05,2907.0,0.542844857
95,2021,BASILAN,6,4.6,27.2,85.86,24.56,1008.8,0.16,0.53,28.34,0.3,144.41,76.32,2373.4,1,11.9,100,1429.8,2907.0,0.491847265
96,1990,BUKIDNON,1,4.2,22.68166666666667,83.97,19.53333333333333,932.2933333333334,0.1533333333333333,0.5183333333333334,24.26333333333333,0.4016666666666666,144.48833333333334,70.59166666666667,1983.5333333333333,1,11.5,100,5791.27,12752.0,0.454146016
97,1991,BUKIDNON,1,6.3,22.41,84.87833333333333,19.51333333333333,932.4483333333332,0.15,0.4733333333333333,23.80666666666667,0.4183333333333333,138.39833333333334,75.24333333333333,1659.7,1,11.9,100,5779.85,12752.0,0.453250471
98,1992,BUKIDNON,1,6.0,22.66333333333333,82.15333333333332,19.098333333333333,932.7533333333334,0.1566666666666666,0.5833333333333334,24.34,0.3866666666666667,142.26833333333337,74.79166666666667,1837.1,1,10.1,100,5466.31,12720.0,0.429741352
99,1993,BUKIDNON,1,3.4,22.365,85.8,19.65333333333333,932.5516666666666,0.1466666666666666,0.4433333333333333,23.71166666666667,0.425,135.53833333333333,73.68166666666667,2154.8166666666666,1,9.7,100,5349.88,12715.0,0.420753441
100,1994,BUKIDNON,1,11.6,22.275,85.93166666666667,19.60333333333333,932.3133333333334,0.1466666666666666,0.4383333333333333,23.626666666666665,0.425,137.02166666666668,72.56833333333334,1988.6666666666667,1,10.4,100,5096.7,12135.0,0.42
101,1995,BUKIDNON,1,12.9,22.49,86.01666666666667,19.805,932.2016666666668,0.1466666666666666,0.4433333333333333,23.941666666666663,0.43,135.03833333333333,72.79833333333333,2656.866666666667,1,7.6,100,4961.12,11867.0,0.418060167
102,1996,BUKIDNON,4,3.6,22.206666666666667,87.895,19.96166666666667,931.555,0.1366666666666667,0.37,23.606666666666666,0.4566666666666667,127.51333333333334,73.86833333333333,2741.4500000000003,51,10.8,100,4764.86,11452.0,0.416072302
103,1997,BUKIDNON,4,4.1,22.24,86.51166666666667,19.71333333333333,933.115,0.1466666666666666,0.4183333333333333,23.565,0.435,142.16666666666666,69.77333333333333,2164.9500000000003,1,9.0,100,4554.0,11385.0,0.4
104,1998,BUKIDNON,1,5.2,23.21166666666667,81.94166666666666,19.561666666666667,933.0,0.1616666666666666,0.6016666666666667,24.993333333333336,0.3899999999999999,149.90166666666667,69.54,2128.05,1,7.9,100,4556.16,11385.0,0.400189723
105,1999,BUKIDNON,5,4.2,22.051666666666662,88.78500000000001,19.988333333333333,931.45,0.1366666666666667,0.3383333333333333,23.486666666666665,0.4633333333333333,119.67333333333332,74.78,3413.65,2,7.9,100,4567.23,11385.0,0.401162055
106,2000,BUKIDNON,5,4.2,22.09166666666667,88.41000000000001,19.96333333333333,931.2883333333332,0.1366666666666667,0.35,23.425,0.4599999999999999,120.42,75.84166666666667,2844.133333333333,1,8.6,100,4571.36,11385.0,0.401524813
107,2001,BUKIDNON,1,5.2,22.19666666666667,87.94166666666666,19.968333333333334,931.5833333333334,0.1366666666666667,0.3683333333333333,23.485,0.4633333333333333,124.25666666666666,75.02666666666666,2307.7166666666667,1,9.7,100,4714.95,10750.0,0.4386
108,2002,BUKIDNON,1,6.0,22.40833333333333,85.83,19.711666666666662,932.385,0.1466666666666666,0.4433333333333333,23.71666666666667,0.4216666666666666,138.97833333333332,70.19,1938.8,1,12.6,100,4806.75,10500.0,0.457785714
109,2003,BUKIDNON,4,4.6,22.426666666666662,86.555,19.87666666666667,932.2866666666667,0.14,0.4233333333333333,23.83333333333333,0.4316666666666666,125.56666666666666,73.71499999999999,2467.583333333333,2,9.0,100,4688.88,10500.0,0.44656
110,2004,BUKIDNON,1,4.7,22.488333333333333,86.22500000000001,19.89,932.075,0.1466666666666666,0.435,23.790000000000003,0.425,136.38,72.47166666666668,1925.4833333333331,1,10.8,100,4680.44,10500.0,0.44575619
111,2005,BUKIDNON,1,3.4,22.596666666666664,85.41666666666667,19.776666666666667,932.365,0.145,0.4683333333333333,24.078333333333333,0.4166666666666667,129.53833333333333,73.00333333333333,2299.6833333333334,2,9.7,100,4668.76,10450.0,0.446771292
112,2006,BUKIDNON,1,8.9,22.331666666666667,86.94333333333333,19.891666666666666,932.1166666666668,0.1433333333333333,0.4033333333333333,23.595,0.4383333333333333,132.375,72.705,2230.2166666666667,1,10.1,100,4939.2,10450.0,0.472650718
113,2007,BUKIDNON,4,5.4,22.468333333333334,86.91166666666668,19.996666666666663,931.6816666666668,0.14,0.4083333333333334,23.771666666666665,0.4433333333333333,127.36166666666666,73.27833333333334,2446.9666666666667,1,12.2,100,4955.0,10450.0,0.474162679
114,2008,BUKIDNON,4,4.1,22.183333333333334,87.99333333333334,19.96,931.5733333333332,0.1366666666666667,0.365,23.505,0.4633333333333333,125.11166666666666,74.075,2920.05,1,10.4,100,4875.0,10450.0,0.466507177
115,2009,BUKIDNON,4,3.6,22.356666666666666,87.71,20.081666666666667,931.6116666666668,0.1366666666666667,0.3766666666666667,23.58333333333333,0.4533333333333333,125.28666666666668,73.05833333333334,2846.4,1,9.0,100,4675.0,10450.0,0.447368421
116,2010,BUKIDNON,1,3.4,22.796666666666667,85.75166666666667,20.076666666666668,932.1566666666668,0.1466666666666666,0.4583333333333333,24.200000000000003,0.415,137.52,70.49333333333333,2357.7000000000003,1,9.4,100,4610.0,9000.0,0.512222222
117,2011,BUKIDNON,4,3.6,22.21,89.19333333333333,20.235,931.3083333333334,0.1283333333333333,0.3266666666666666,23.523333333333337,0.47,111.22666666666667,76.79333333333334,3213.816666666667,2,8.3,100,4545.0,9000.0,0.505
118,2012,BUKIDNON,4,3.1,22.246666666666663,88.16833333333334,20.07333333333333,931.695,0.1366666666666667,0.3583333333333333,23.516666666666666,0.4633333333333333,122.07,74.35666666666667,2759.816666666667,1,12.6,100,3930.0,9000.0,0.436666667
119,2013,BUKIDNON,4,4.6,22.386666666666667,88.22000000000001,20.20833333333333,931.8183333333332,0.1366666666666667,0.3616666666666666,23.618333333333336,0.4566666666666667,119.22333333333334,73.76833333333333,3050.75,2,9.7,100,4070.0,9000.0,0.452222222
120,2014,BUKIDNON,4,4.6,22.36,88.04333333333334,20.14333333333333,932.075,0.1366666666666667,0.37,23.606666666666666,0.4583333333333333,120.71166666666666,74.38333333333334,2865.8833333333337,1,8.6,100,4187.0,9000.0,0.465222222
121,2015,BUKIDNON,1,6.0,22.626666666666665,85.94666666666667,19.936666666666667,932.9483333333334,0.1466666666666666,0.4466666666666667,23.971666666666664,0.43,136.725,69.55666666666667,2193.4666666666667,1,13.0,100,4213.0,9000.0,0.468111111
122,2016,BUKIDNON,1,6.0,23.156666666666663,84.64999999999999,20.14,932.6933333333332,0.15,0.51,24.615,0.4116666666666666,134.95833333333334,72.30833333333334,2369.516666666667,1,11.2,100,4377.0,9000.0,0.486333333
123,2017,BUKIDNON,4,5.4,22.561666666666667,88.71,20.49,932.02,0.135,0.3483333333333333,23.848333333333333,0.465,112.5,75.80666666666666,3487.183333333333,51,6.8,100,4481.0,9000.0,0.497888889
124,2018,BUKIDNON,1,3.4,22.795,85.86500000000001,20.121666666666663,931.9933333333332,0.1466666666666666,0.4516666666666666,23.971666666666668,0.44,137.085,71.845,2082.9,1,9.0,100,4577.8,9000.0,0.508644444
125,2019,BUKIDNON,1,3.4,22.953333333333333,83.87166666666667,19.82,932.8366666666666,0.1516666666666666,0.52,24.14333333333333,0.4216666666666666,140.36166666666668,71.39333333333333,2022.3,1,7.6,100,4674.4,9000.0,0.519377778
126,2020,BUKIDNON,1,4.5,22.99833333333333,85.15166666666667,20.086666666666662,932.5466666666669,0.15,0.49,24.48,0.4216666666666666,132.6783333333333,71.22166666666666,2635.0666666666666,1,7.6,100,4425.81,9000.09,0.491751749
127,2021,BUKIDNON,4,3.6,22.495,88.51833333333333,20.381666666666668,931.985,0.1366666666666667,0.3516666666666666,23.84,0.4633333333333333,121.80333333333334,73.75666666666667,3383.65,1,7.9,100,5041.85,9008.0,0.559708037
128,1990,CAMIGUIN,4,8.7,26.71,82.15,23.37,1003.9,0.17,0.63,27.93,0.24,169.38,66.64,1766.9,1,19.1,100,151.44,70.5,2.148085106
129,1991,CAMIGUIN,4,13.0,26.7,81.34,23.2,1004.11,0.17,0.66,28.05,0.2,168.39,69.99,1566.8,1,14.0,100,115.13,63.5,1.813070866
130,1992,CAMIGUIN,4,5.4,26.75,80.19,23.01,1004.41,0.17,0.71,28.43,0.18,169.4,70.62,1516.6,1,12.2,100,110.07,62.5,1.76112
131,1993,CAMIGUIN,4,3.1,26.72,81.52,23.26,1004.27,0.17,0.66,27.89,0.25,161.18,70.18,2320.8,1,13.7,100,96.49,60.0,1.608166667
132,1994,CAMIGUIN,4,10.5,26.68,81.81,23.28,1004.02,0.17,0.64,27.57,0.31,162.05,68.44,1964.8,1,18.0,100,62.98,62.5,1.00768
133,1995,CAMIGUIN,4,10.2,26.73,82.12,23.39,1003.82,0.16,0.63,27.9,0.25,162.31,67.91,2769.8,1,11.9,100,88.75,63.7,1.393249608
134,1996,CAMIGUIN,4,8.7,26.64,82.47,23.37,1003.22,0.16,0.62,27.45,0.31,151.38,70.46,3346.6,51,11.2,100,185.52,61.15,3.033851186
135,1997,CAMIGUIN,4,12.0,26.65,81.2,23.13,1004.94,0.17,0.67,27.63,0.27,170.21,64.94,1891.3,1,13.0,100,124.27,61.15,2.032215863
136,1998,CAMIGUIN,4,3.6,27.25,80.32,23.53,1004.36,0.18,0.72,28.76,0.18,179.99,63.76,2257.7,1,11.5,100,111.44,55.0,2.026181818
137,1999,CAMIGUIN,4,3.1,26.77,81.74,23.35,1003.09,0.16,0.65,27.48,0.34,144.55,72.3,3894.3,1,12.6,100,85.14,49.0,1.73755102
138,2000,CAMIGUIN,4,3.1,26.89,81.52,23.42,1002.9,0.16,0.66,27.56,0.34,147.94,71.52,3260.7,1,12.6,100,57.13,46.0,1.241956522
139,2001,CAMIGUIN,4,10.2,26.87,81.84,23.47,1003.22,0.16,0.65,27.64,0.34,150.92,70.99,2631.1,1,13.0,100,44.12,30.0,1.470666667
140,2002,CAMIGUIN,4,9.7,26.72,81.64,23.28,1004.1,0.17,0.65,27.44,0.33,163.58,67.01,1913.1,1,18.7,100,33.49,40.0,0.83725
