,Year,Location,Production (mt),Area (ha),Yield (mt/ha)
229,1996,COTABATO,620.3,1400.0,0.44307142857142856
230,1996,SARANGANI,167.58,144.0,1.16375
231,1996,SULTAN KUDARAT,6994.46,7211.0,0.9699708778255444
232,1996,SOUTH COTABATO,1657.25,970.0,1.7085051546391752
234,1996,AGUSAN DEL NORTE,250.06,213.0,1.1739906103286386
235,1996,AGUSAN DEL SUR,647.12,839.82,0.7705460693958228
236,1996,DINAGAT ISLANDS,0.0,0.0,
237,1996,SURIGAO DEL NORTE,6.41,12.0,0.5341666666666667
238,1996,SURIGAO DEL SUR,3348.7,2757.0,1.2146173376858904
240,1996,BASILAN,1058.55,2784.0,0.38022629310344824
241,1996,LANAO DEL SUR,240.07,1840.0,0.1304728260869565
242,1996,MAGUINDANAO,3202.16,3262.0,0.9816554261189454
243,1996,SULU,2219.89,1014.0,2.189240631163708
244,1996,TAWI-TAWI,0.0,0.0,
246,1997,ZAMBOANGA DEL NORTE,127.48,153.0,0.8332026143790849
247,1997,ZAMBOANGA DEL SUR,107.93,154.0,0.7008441558441559
248,1997,ZAMBOANGA SIBUGAY,0.0,0.0,
249,1997,CITY OF ZAMBOANGA,157.5,175.0,0.9
251,1997,BUKIDNON,4554.0,11385.0,0.4
252,1997,CAMIGUIN,124.27,61.15,2.03221586263287
253,1997,LANAO DEL NORTE,60.2,188.0,0.3202127659574468
254,1997,MISAMIS OCCIDENTAL,8.95,114.0,0.07850877192982456
255,1997,MISAMIS ORIENTAL,505.16,684.0,0.7385380116959065
257,1997,DAVAO DE ORO,0.0,0.0,
258,1997,DAVAO DEL NORTE,12085.42,12484.0,0.968072733098366
259,1997,DAVAO DEL SUR,6160.99,4690.0,1.313643923240938
260,1997,DAVAO OCCIDENTAL,0.0,0.0,
261,1997,DAVAO ORIENTAL,1297.37,1493.0,0.8689685197588747
262,1997,CITY OF DAVAO,6600.25,5612.0,1.1760958660014256
264,1997,COTABATO,738.5,1403.0,0.5263720598717035
265,1997,SARANGANI,158.26,144.0,1.0990277777777777
266,1997,SULTAN KUDARAT,8694.3,7211.0,1.2056996255720427
267,1997,SOUTH COTABATO,1695.04,1045.0,1.6220478468899522
269,1997,AGUSAN DEL NORTE,258.22,215.0,1.2010232558139535
270,1997,AGUSAN DEL SUR,664.18,750.0,0.8855733333333332
271,1997,DINAGAT ISLANDS,0.0,0.0,
272,1997,SURIGAO DEL NORTE,5.13,20.0,0.2565
273,1997,SURIGAO DEL SUR,3248.0,2700.0,1.202962962962963
275,1997,BASILAN,1459.86,2818.0,0.5180482611781405
276,1997,LANAO DEL SUR,308.66,1954.0,0.15796315250767656
277,1997,MAGUINDANAO,3265.53,3262.0,1.0010821581851626
278,1997,SULU,2218.59,1014.0,2.187958579881657
279,1997,TAWI-TAWI,0.0,0.0,
281,1998,ZAMBOANGA DEL NORTE,125.9,153.0,0.8228758169934641
282,1998,ZAMBOANGA DEL SUR,105.15,153.0,0.6872549019607843
283,1998,ZAMBOANGA SIBUGAY,0.0,0.0,
284,1998,CITY OF ZAMBOANGA,141.1,166.0,0.85
286,1998,BUKIDNON,4556.16,11385.0,0.40018972332015806
287,1998,CAMIGUIN,111.44,55.0,2.026181818181818
288,1998,LANAO DEL NORTE,59.14,188.0,0.31457446808510636
289,1998,MISAMIS OCCIDENTAL,7.69,100.0,0.07690000000000001
290,1998,MISAMIS ORIENTAL,404.13,492.0,0.8214024390243903
292,1998,DAVAO DE ORO,0.0,0.0,
293,1998,DAVAO DEL NORTE,11796.03,12484.0,0.9448918615828261
294,1998,DAVAO DEL SUR,5279.59,4220.0,1.2510876777251185
295,1998,DAVAO OCCIDENTAL,0.0,0.0,
296,1998,DAVAO ORIENTAL,1296.04,1487.0,0.8715803631472764
297,1998,CITY OF DAVAO,6545.46,5612.0,1.1663328581610835
299,1998,COTABATO,715.67,1403.0,0.5100997861724875
300,1998,SARANGANI,211.12,144.0,1.4661111111111111
301,1998,SULTAN KUDARAT,5409.02,7358.0,0.7351209567817343
302,1998,SOUTH COTABATO,1491.83,1045.0,1.4275885167464115
304,1998,AGUSAN DEL NORTE,265.78,216.0,1.2304629629629629
305,1998,AGUSAN DEL SUR,353.58,750.0,0.47143999999999997
306,1998,DINAGAT ISLANDS,0.0,0.0,
307,1998,SURIGAO DEL NORTE,4.92,20.0,0.246
308,1998,SURIGAO DEL SUR,3199.36,2700.0,1.1849481481481483
310,1998,BASILAN,1404.67,2818.0,0.49846344925479064
311,1998,LANAO DEL SUR,273.35,1950.0,0.1401794871794872
312,1998,MAGUINDANAO,3321.04,3425.0,0.9696467153284671
313,1998,SULU,2215.04,1014.0,2.184457593688363
314,1998,TAWI-TAWI,0.0,0.0,
316,1999,ZAMBOANGA DEL NORTE,133.5,160.0,0.834375
317,1999,ZAMBOANGA DEL SUR,104.87,152.0,0.6899342105263159
318,1999,ZAMBOANGA SIBUGAY,0.0,0.0,
319,1999,CITY OF ZAMBOANGA,98.0,140.0,0.7
321,1999,BUKIDNON,4567.23,11385.0,0.4011620553359683
322,1999,CAMIGUIN,85.14,49.0,1.7375510204081632
323,1999,LANAO DEL NORTE,136.49,200.0,0.68245
324,1999,MISAMIS OCCIDENTAL,5.45,100.0,0.0545
325,1999,MISAMIS ORIENTAL,320.34,390.0,0.8213846153846153
327,1999,DAVAO DE ORO,11117.13,11495.0,0.9671274467159634
328,1999,DAVAO DEL NORTE,597.48,605.0,0.9875702479338844
329,1999,DAVAO DEL SUR,4814.91,3800.0,1.2670815789473684
330,1999,DAVAO OCCIDENTAL,0.0,0.0,
331,1999,DAVAO ORIENTAL,1322.96,1497.0,0.8837408149632598
332,1999,CITY OF DAVAO,6618.91,5612.0,1.1794208838203848
334,1999,COTABATO,890.0,1039.0,0.8565928777670837
335,1999,SARANGANI,211.33,144.0,1.4675694444444445
336,1999,SULTAN KUDARAT,4228.89,10258.0,0.41225287580425035
337,1999,SOUTH COTABATO,1509.73,1045.0,1.4447177033492824
339,1999,AGUSAN DEL NORTE,242.32,212.0,1.1430188679245283
340,1999,AGUSAN DEL SUR,350.49,750.0,0.46732
341,1999,DINAGAT ISLANDS,0.0,0.0,
342,1999,SURIGAO DEL NORTE,5.66,20.0,0.28300000000000003
343,1999,SURIGAO DEL SUR,3199.46,2700.0,1.1849851851851851
345,1999,BASILAN,1441.19,3135.0,0.4597097288676236
346,1999,LANAO DEL SUR,252.93,1972.0,0.1282606490872211
347,1999,MAGUINDANAO,3241.03,3425.0,0.9462861313868614
348,1999,SULU,2212.42,1014.0,2.1818737672583826
349,1999,TAWI-TAWI,0.0,0.0,
351,2000,ZAMBOANGA DEL NORTE,142.33,160.0,0.8895625
352,2000,ZAMBOANGA DEL SUR,99.99,143.0,0.6992307692307692
353,2000,ZAMBOANGA SIBUGAY,33.94,53.0,0.640377358490566
354,2000,CITY OF ZAMBOANGA,59.5,85.0,0.7
356,2000,BUKIDNON,4571.36,11385.0,0.4015248133509003
