year,location,weathercode (wmo code),temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),rain (mm),surface_pressure (hPa),cloudcover (%),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²)
1990, Basilan,1,26.2727397260274,83.27146118721461,23.13324200913242,0.1708675799086758,1000.6829223744293,47.1189497716895,0.172425799086758,0.5894109589041095,8.140456621004565,199.46369863013697,18.20148401826484,27.409223744292238,0.1481873287671233,174.51118721461188,68.69349315068493
1991, Basilan,1,26.36986301369863,81.42956621004566,22.850890410958904,0.12218036529680365,1000.8819634703196,46.10022831050228,0.17584018264840182,0.6572077625570777,7.731837899543378,191.9890410958904,17.632785388127854,27.519486301369863,0.11677568493150685,174.15091324200912,72.04029680365296
1992, Basilan,1,26.193101092896175,82.2959927140255,22.859335154826958,0.1514344262295082,1001.1915300546449,46.38433515482696,0.17256375227686702,0.6199943078324226,7.453563296903461,197.19729052823314,17.297392987249545,27.621869307832423,0.13463262750455374,169.34915755919855,74.48155737704919
1993, Basilan,1,26.20571917808219,82.16837899543378,22.849817351598173,0.16470319634703195,1001.0572831050229,47.47956621004566,0.17253767123287672,0.6240456621004566,7.614452054794521,193.39212328767124,17.30310502283105,27.504920091324202,0.12375513698630138,169.85456621004568,72.04223744292237
1994, Basilan,1,26.187077625570776,82.73436073059361,22.947328767123288,0.17188356164383561,1000.8589269406392,51.22408675799087,0.1691689497716895,0.6044885844748858,7.591506849315069,192.66575342465754,17.77716894977169,27.47900684931507,0.14120365296803652,167.14189497716896,71.89155251141553
1995, Basilan,1,26.10466894977169,83.362899543379,22.992431506849318,0.21110730593607305,1000.5775684931507,53.44280821917808,0.1656529680365297,0.5791369863013698,7.396632420091324,191.8293378995434,16.99980593607306,27.567020547945205,0.1490103881278539,160.4554794520548,73.9527397260274
1996, Basilan,51,25.848508652094715,85.08640710382514,23.10985883424408,0.2704007285974499,1000.0105532786885,57.18886612021858,0.1595639799635701,0.5072632058287796,8.287670765027322,188.95241347905284,16.859005009107467,27.08835382513661,0.18424351092896174,151.85678506375228,75.67941712204008
1997, Basilan,1,26.110034246575342,82.62134703196347,22.85851598173516,0.14285388127853882,1001.666598173516,47.24828767123287,0.17336529680365298,0.6042168949771689,7.4802625570776256,176.99714611872147,16.924006849315067,27.287203196347033,0.13298778538812786,174.8384703196347,69.9859589041096
1998, Basilan,1,26.487043378995434,82.54075342465754,23.18892694063927,0.21628995433789955,1001.1387442922374,49.577625570776256,0.1703025114155251,0.6234086757990868,7.0751484018264845,185.09874429223746,16.89625570776256,28.068253424657534,0.1538189497716895,166.62819634703197,70.59474885844749
1999, Basilan,51,25.8071803652968,85.44018264840183,23.144246575342468,0.2869178082191781,999.8777283105023,60.45582191780822,0.15194977168949772,0.4939668949771689,8.011358447488584,182.0345890410959,17.680319634703196,27.179600456621003,0.19374634703196347,136.53333333333333,79.45
2000, Basilan,51,25.94216757741348,85.21596083788707,23.232969034608377,0.25251593806921674,999.7284949908925,58.41837431693989,0.1571914845173042,0.5056443533697632,7.947461293260473,191.28768214936247,17.62768670309654,27.273383424408014,0.1905249316939891,145.93340163934425,78.04291894353369
2001, Basilan,1,26.010490867579907,85.39977168949771,23.336381278538813,0.24308219178082194,1000.0579908675799,55.14954337899543,0.1583881278538813,0.5010410958904109,8.213356164383562,187.91826484018264,17.890776255707763,27.20357305936073,0.19179075342465754,150.53436073059362,75.74326484018265
2002, Basilan,1,26.417317351598175,82.02922374429224,23.033481735159818,0.13155251141552513,1000.832602739726,46.016552511415526,0.17418607305936074,0.6371552511415525,8.225844748858448,192.31723744292236,17.83,27.38585616438356,0.1297478310502283,174.08607305936073,68.77066210045662
2003, Basilan,1,26.305593607305937,82.44760273972602,23.001198630136987,0.16342465753424656,1000.747111872146,49.82808219178082,0.1684486301369863,0.6192248858447489,7.828538812785388,187.49246575342465,17.219851598173516,27.43557077625571,0.13852180365296804,162.4994292237443,72.74006849315069
2004, Basilan,1,26.229394353369763,83.72017304189436,23.1959927140255,0.15763888888888888,1000.5917691256831,48.5691029143898,0.16898110200364297,0.5716074681238615,8.555453096539162,200.8184198542805,18.167998633879783,27.243886612021857,0.1512620673952641,167.13080601092895,71.50239071038251
2005, Basilan,1,26.397545662100455,82.59155251141553,23.123413242009132,0.19952054794520546,1000.814006849315,52.12020547945205,0.16794178082191782,0.6163732876712329,7.885924657534246,202.05399543378996,17.22107305936073,27.564771689497718,0.15025810502283105,159.19623287671232,74.06404109589042
2006, Basilan,1,26.272705479452053,84.64988584474885,23.445810502283102,0.1978082191780822,1000.5701141552511,52.61632420091324,0.16319520547945204,0.5359680365296804,7.388059360730594,194.16963470319635,16.757716894977168,27.291735159817353,0.18129634703196346,156.1109589041096,74.79771689497717
