,Year,Location,Production (mt),Area (ha),Yield (mt/ha),weathercode (wmo code),temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),rain (mm),surface_pressure (hPa),cloudcover (%),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²)
58,2015,ZAMBOANGA DEL SUR,8.93,14.0,0.6378571428571428,1,24.600502283105023,83.78972602739726,21.53094748858448,0.2734474885844749,964.2889497716894,64.60867579908675,0.145417808219178,0.5333801369863014,5.386084474885845,138.60856164383563,17.092705479452057,26.08285388127853,0.4120211187214612,131.7821917808219,71.88538812785389
59,2016,ZAMBOANGA DEL SUR,8.24,16.0,0.515,1,25.08507513661202,83.65266393442623,21.962841530054646,0.3545195810564663,963.8850409836064,64.65858378870674,0.1467520491803278,0.5575967668488161,4.66905737704918,143.4511612021858,15.654565118397088,26.80966530054645,0.4165609061930783,128.0136612021858,75.14685792349727
60,2017,ZAMBOANGA DEL SUR,8.95,20.8,0.4302884615384615,3,24.52216894977169,86.68127853881279,22.083390410958906,0.4293493150684931,963.31899543379,73.88470319634703,0.1325239726027397,0.4297248858447488,4.911461187214612,148.97134703196346,16.16267123287671,25.87519406392694,0.4736060502283105,107.43778538812784,79.15228310502283
61,2018,ZAMBOANGA DEL SUR,10.66,21.0,0.5076190476190476,1,24.639029680365297,85.71472602739726,21.99466894977169,0.3309474885844748,963.3307534246576,66.90205479452055,0.1424977168949771,0.4676358447488584,5.1132762557077625,150.7283105022831,16.464143835616436,26.01103881278539,0.456388698630137,126.9808219178082,75.18527397260274
62,2019,ZAMBOANGA DEL SUR,10.16,25.0,0.4064,1,24.81360730593608,83.29189497716895,21.62719178082192,0.2489383561643835,964.1558904109588,62.66826484018265,0.1492191780821918,0.5571563926940639,5.395114155251141,140.7279680365297,16.884908675799085,26.39899543378996,0.404358105022831,133.70844748858448,74.6824200913242
63,2020,ZAMBOANGA DEL SUR,11.23,42.0,0.2673809523809524,1,24.923713570127504,83.49464936247723,21.79072176684882,0.3421334244080146,963.754121129326,65.69057377049181,0.1440414389799635,0.5539241803278688,4.783128415300546,134.46766848816029,15.607559198542804,26.617736794171226,0.4191923952641166,124.77515938069216,74.59540072859745
64,2021,ZAMBOANGA DEL SUR,15.78,42.0,0.3757142857142857,3,24.52912100456621,86.19429223744292,22.000513698630137,0.4632077625570776,963.3008105022832,71.73527397260274,0.1324634703196347,0.4448641552511416,4.837522831050228,146.80353881278538,15.501164383561646,25.830125570776254,0.4768167808219178,108.50399543378995,78.3925799086758
65,2022,ZAMBOANGA DEL SUR,0.0,42.0,0.0,51,24.48967551622419,86.25934119960668,21.96842428711897,0.4423180924287119,963.0959562438544,72.46570796460178,0.1320907079646018,0.4423832350049164,4.626720747295969,167.20255653883973,14.108222713864306,25.80229842674533,0.4676141838741396,105.82030481809242,80.10975909537856
66,1990,ZAMBOANGA SIBUGAY,0.0,0.0,0.0,1,27.19391552511416,81.19052511415525,23.61553652968037,0.257568493150685,1009.2428196347032,53.32899543378996,0.1617031963470319,0.6951712328767123,5.632009132420092,162.49623287671233,16.894908675799087,29.659155251141552,0.414991095890411,150.35479452054796,71.85673515981735
67,1991,ZAMBOANGA SIBUGAY,0.0,0.0,0.0,1,27.083584474885846,81.12625570776255,23.49856164383561,0.2293264840182648,1009.477305936073,53.88847031963471,0.161843607305936,0.6925627853881279,5.341232876712328,157.1211187214612,15.986506849315068,29.62450913242009,0.4130431506849314,148.0406392694064,75.94885844748859
