,Location,Year,Production (mt),Area (ha),Yield (mt/ha)
214,SAMAR,1994,4,6,0.666666667
215,SOUTHERN LEYTE,1994,51,78,0.653846154
216,ABRA,1995,6,5.00150015,1.199640072
217,BENGUET,1995,79,68,1.161764706
218,IFUGAO,1995,1352,2512.579894,0.538092342
219,KALINGA,1995,2472,2748,0.899563319
220,MOUNTAIN PROVINCE,1995,504,1200,0.42
221,ILOCOS NORTE,1995,1,8,0.125
222,ILOCOS SUR,1995,28,53,0.528301887
223,LA UNION,1995,3,3,1
224,PANGASINAN,1995,2,3.00060003,0.666533353
225,CAGAYAN,1995,7,61,0.114754098
226,ISABELA,1995,275,173,1.589595376
227,NUEVA VIZCAYA,1995,628,1760,0.356818182
228,QUIRINO,1995,95,528,0.179924242
229,AURORA,1995,634,1025,0.618536585
230,BATAAN,1995,59,240,0.245833333
231,BULACAN,1995,1485,750,1.98
232,PAMPANGA,1995,3,4,0.75
233,BATANGAS,1995,3966,2932,1.3526603
234,CAVITE,1995,12056,7758,1.554008765
235,LAGUNA,1995,288,705,0.408510638
236,QUEZON,1995,166,590,0.281355932
237,RIZAL,1995,175,64,2.734375
238,MARINDUQUE,1995,4,8,0.5
239,ORIENTAL MINDORO,1995,468,540,0.866666667
240,PALAWAN,1995,31,290,0.106896552
241,ROMBLON,1995,0.5,8,0.0625
242,ALBAY,1995,182,304,0.598684211
243,CAMARINES NORTE,1995,95,220,0.431818182
244,CAMARINES SUR,1995,375,915,0.409836066
245,SORSOGON,1995,159,381,0.417322835
246,AKLAN,1995,14,61,0.229508197
247,ANTIQUE,1995,26,26,1
248,CAPIZ,1995,2086,2090,0.998086124
249,GUIMARAS,1995,1,17,0.058823529
250,ILOILO,1995,2310,3848,0.60031185
251,NEGROS OCCIDENTAL,1995,1967,2834,0.694071983
252,BOHOL,1995,16,89.97204752,0.17783301
253,CEBU,1995,6,11,0.545454545
254,NEGROS ORIENTAL,1995,558,855,0.652631579
255,BILIRAN,1995,2,2,1
256,EASTERN SAMAR,1995,3,2,1.5
257,LEYTE,1995,22,26,0.846153846
258,SAMAR,1995,4,5,0.8
259,SOUTHERN LEYTE,1995,53,74,0.716216216
260,ABRA,1996,6,5.00150015,1.199640072
261,BENGUET,1996,68,60,1.133333333
262,IFUGAO,1996,1190,2375.173181,0.501016098
263,KALINGA,1996,2197,3090,0.711003236
264,MOUNTAIN PROVINCE,1996,507,1200,0.4225
265,ILOCOS NORTE,1996,1,8,0.125
266,ILOCOS SUR,1996,28,54,0.518518519
267,LA UNION,1996,3,4,0.75
268,PANGASINAN,1996,2,3,0.666666667
269,CAGAYAN,1996,5,58,0.086206897
270,ISABELA,1996,298,186,1.602150538
271,NUEVA VIZCAYA,1996,621,1657,0.374773687
272,QUIRINO,1996,103,528,0.195075758
273,AURORA,1996,504,863,0.58400927
274,BATAAN,1996,69,240,0.2875
275,BULACAN,1996,1314,730,1.8
276,PAMPANGA,1996,1,4,0.25
277,BATANGAS,1996,3945,2939,1.342293297
278,CAVITE,1996,8885,7730,1.149417853
279,LAGUNA,1996,273,704,0.387784091
280,QUEZON,1996,83,555,0.14954955
281,RIZAL,1996,82,52,1.576923077
282,MARINDUQUE,1996,4,8,0.5
283,ORIENTAL MINDORO,1996,355,413,0.859564165
284,PALAWAN,1996,55,275,0.2
285,ROMBLON,1996,0.5,8,0.0625
286,ALBAY,1996,167,312,0.53525641
287,CAMARINES NORTE,1996,0,139,0
288,CAMARINES SUR,1996,294,896,0.328125
289,SORSOGON,1996,226,397,0.569269521
290,AKLAN,1996,14,55,0.254545455
291,ANTIQUE,1996,26,26,1
292,CAPIZ,1996,2059,2060,0.999514563
293,GUIMARAS,1996,2,18,0.111111111
294,ILOILO,1996,2298,3848,0.597193347
295,NEGROS OCCIDENTAL,1996,1141,2792,0.408667622
296,BOHOL,1996,16,23,0.695652174
297,CEBU,1996,6,11,0.545454545
298,NEGROS ORIENTAL,1996,559,847,0.659976387
299,BILIRAN,1996,2,2,1
300,EASTERN SAMAR,1996,3,2,1.5
301,LEYTE,1996,23,26,0.884615385
302,SAMAR,1996,4,5,0.8
303,SOUTHERN LEYTE,1996,53,71,0.746478873
304,ABRA,1997,7,5,1.4
305,APAYAO,1997,31,62,0.5
306,BENGUET,1997,71,60,1.183333333
307,IFUGAO,1997,1300,2516,0.516693164
308,KALINGA,1997,2208,2055,1.074452555
309,MOUNTAIN PROVINCE,1997,392,1204,0.325581395
310,ILOCOS NORTE,1997,1,8,0.125
311,ILOCOS SUR,1997,28,54,0.518518519
312,LA UNION,1997,3,4,0.75
313,PANGASINAN,1997,2,2,1
314,CAGAYAN,1997,6,57,0.105263158
315,ISABELA,1997,254,201,1.263681592
316,NUEVA VIZCAYA,1997,800,1657,0.482800241
317,QUIRINO,1997,346,527,0.65654649
318,AURORA,1997,496,979,0.506639428
319,BATAAN,1997,90,250,0.36
320,BULACAN,1997,1496,680,2.2
321,PAMPANGA,1997,1,4,0.25
322,BATANGAS,1997,3978,2908,1.367950481
323,CAVITE,1997,9030,7730,1.168175938
324,LAGUNA,1997,276,703,0.392603129
325,QUEZON,1997,284,557,0.509874327
326,RIZAL,1997,87,49,1.775510204
327,MARINDUQUE,1997,4,8,0.5
328,ORIENTAL MINDORO,1997,244,305,0.8
329,PALAWAN,1997,56,295,0.189830508
330,ROMBLON,1997,0.2,8,0.025
331,ALBAY,1997,166,312,0.532051282
332,CAMARINES NORTE,1997,102,139,0.73381295
333,CAMARINES SUR,1997,136,376,0.361702128
334,SORSOGON,1997,234,390,0.6
335,AKLAN,1997,14,55,0.254545455
336,ANTIQUE,1997,27,26,1.038461538
337,CAPIZ,1997,2070,2060,1.004854369
338,GUIMARAS,1997,2,18,0.111111111
339,ILOILO,1997,1995,3848,0.518451143
340,NEGROS OCCIDENTAL,1997,1125,2792,0.402936963
341,BOHOL,1997,16,23,0.695652174
342,CEBU,1997,6,11,0.545454545
343,NEGROS ORIENTAL,1997,560,836,0.669856459
344,BILIRAN,1997,2,2,1
345,EASTERN SAMAR,1997,2,2,1
346,LEYTE,1997,18,25,0.72
347,SAMAR,1997,4,5,0.8
348,SOUTHERN LEYTE,1997,65,71,0.915492958
349,ABRA,1998,7,5,1.4
350,APAYAO,1998,31,62,0.5
351,BENGUET,1998,71,60,1.183333333
352,IFUGAO,1998,1219,2516,0.484499205
353,KALINGA,1998,2354,2212,1.064195298
354,MOUNTAIN PROVINCE,1998,505,1204,0.419435216
355,ILOCOS NORTE,1998,1,8,0.125
356,ILOCOS SUR,1998,28,54,0.518518519
357,LA UNION,1998,5,4,1.25
358,PANGASINAN,1998,2,2,1
359,CAGAYAN,1998,6,57,0.105263158
360,ISABELA,1998,242,201,1.2039801
361,NUEVA VIZCAYA,1998,793,1657,0.478575739
362,QUIRINO,1998,332,527,0.629981025
363,AURORA,1998,448,979,0.457609806
364,BATAAN,1998,279,300,0.93
365,BULACAN,1998,1430,650,2.2
366,PAMPANGA,1998,1,4,0.25
367,BATANGAS,1998,2023,2912,0.694711538
368,CAVITE,1998,8921,7730,1.154075032
369,LAGUNA,1998,251,700,0.358571429
370,QUEZON,1998,289,560,0.516071429
371,RIZAL,1998,114,49,2.326530612
372,MARINDUQUE,1998,4,8,0.5
373,ORIENTAL MINDORO,1998,171,230,0.743478261
374,PALAWAN,1998,50,300,0.166666667
375,ROMBLON,1998,0.2,8,0.025
376,ALBAY,1998,166,312,0.532051282
377,CAMARINES NORTE,1998,94,138,0.68115942
378,CAMARINES SUR,1998,137,355,0.385915493
379,SORSOGON,1998,193,379,0.509234828
380,AKLAN,1998,12,55,0.218181818
381,ANTIQUE,1998,27,26,1.038461538
382,CAPIZ,1998,1822,2060,0.884466019
383,GUIMARAS,1998,2,18,0.111111111
384,ILOILO,1998,1421,3842,0.369859448
385,NEGROS OCCIDENTAL,1998,923,1967,0.469242501
386,BOHOL,1998,12,21,0.571428571
387,CEBU,1998,6,11,0.545454545
388,NEGROS ORIENTAL,1998,552,825,0.669090909
389,BILIRAN,1998,2,1,2
390,EASTERN SAMAR,1998,2,2,1
391,LEYTE,1998,15,24,0.625
392,SAMAR,1998,3,5,0.6
