,Location,Year,Production (mt),Area (ha),Yield (mt/ha)
1183,CAVITE,2016,1719.4,7600,0.226236842
1184,LAGUNA,2016,58.89,468,0.125833333
1185,QUEZON,2016,132.52,403,0.328833747
1186,RIZAL,2016,43.8,36,1.216666667
1187,MARINDUQUE,2016,21.13,142,0.148802817
1188,ORIENTAL MINDORO,2016,20.22,121,0.167107438
1189,PALAWAN,2016,81.07,485,0.167154639
1190,ALBAY,2016,69.7,200,0.3485
1191,CAMARINES NORTE,2016,16.7,27,0.618518519
1192,CAMARINES SUR,2016,13.01,122,0.106639344
1193,SORSOGON,2016,97.96,108,0.907037037
1194,AKLAN,2016,0,15,0
1195,ANTIQUE,2016,14.82,51,0.290588235
1196,CAPIZ,2016,899.89,1933,0.46554061
1197,GUIMARAS,2016,7,97,0.072164948
1198,ILOILO,2016,1820.91,3760,0.484284574
1199,NEGROS OCCIDENTAL,2016,700.26,2000,0.35013
1200,BOHOL,2016,47.97,245,0.195795918
1201,CEBU,2016,3.83,838,0.004570406
1202,NEGROS ORIENTAL,2016,116.41,950,0.122536842
1203,BILIRAN,2016,1.39,1.09,1.275229358
1204,EASTERN SAMAR,2016,4.1,8,0.5125
1205,LEYTE,2016,10,14,0.714285714
1206,NORTHERN SAMAR,2016,2.93,10,0.293
1207,SAMAR,2016,3.41,7.7,0.442857143
1208,SOUTHERN LEYTE,2016,4.09,23,0.177826087
1209,ABRA,2017,6.99,5,1.398
1210,APAYAO,2017,12.6,63,0.2
1211,BENGUET,2017,66,64,1.03125
1212,IFUGAO,2017,881.24,2200,0.400563636
1213,KALINGA,2017,307,3084,0.099546044
1214,MOUNTAIN PROVINCE,2017,43.07,55,0.783090909
1215,ILOCOS NORTE,2017,0.54,47,0.011489362
1216,ILOCOS SUR,2017,47.66,168,0.283690476
1217,LA UNION,2017,4.7,13,0.361538462
1218,PANGASINAN,2017,9.94,13,0.764615385
1219,CAGAYAN,2017,4.51,306,0.014738562
1220,ISABELA,2017,11,106,0.103773585
1221,NUEVA VIZCAYA,2017,470.36,1542,0.305032425
1222,QUIRINO,2017,31.34,900,0.034822222
1223,AURORA,2017,125,810,0.154320988
1224,BATAAN,2017,294.4,340,0.865882353
1225,BULACAN,2017,650,200,3.25
1226,ZAMBALES,2017,1.65,16,0.103125
1227,BATANGAS,2017,259.12,2300,0.11266087
1228,CAVITE,2017,1239.67,7600,0.163114474
1229,LAGUNA,2017,58.91,468,0.125876068
1230,QUEZON,2017,109.38,403,0.271414392
1231,RIZAL,2017,0.64,36,0.017777778
1232,MARINDUQUE,2017,19.58,142,0.137887324
1233,OCCIDENTAL MINDORO,2017,0,7,0
1234,ORIENTAL MINDORO,2017,19.44,121,0.160661157
1235,PALAWAN,2017,80.41,485,0.165793814
1236,ALBAY,2017,62.54,135,0.463259259
1237,CAMARINES NORTE,2017,17.79,27,0.658888889
1238,CAMARINES SUR,2017,11.78,112,0.105178571
1239,SORSOGON,2017,93.71,108,0.867685185
1240,AKLAN,2017,0,15,0
1241,ANTIQUE,2017,15.75,51,0.308823529
1242,CAPIZ,2017,885.82,1931,0.458736406
1243,GUIMARAS,2017,6.58,107,0.061495327
1244,ILOILO,2017,2027.75,3760,0.539295213
1245,NEGROS OCCIDENTAL,2017,658.03,2000,0.329015
1246,BOHOL,2017,51.03,245,0.208285714
1247,CEBU,2017,5.4,428,0.012616822
1248,NEGROS ORIENTAL,2017,116.49,952,0.122363445
1249,BILIRAN,2017,1.55,2,0.775
1250,EASTERN SAMAR,2017,0.6,8,0.075
1251,LEYTE,2017,9.51,14,0.679285714
1252,NORTHERN SAMAR,2017,3.72,10,0.372
1253,SAMAR,2017,3.5,7.5,0.466666667
1254,SOUTHERN LEYTE,2017,3.75,21,0.178571429
1255,ABRA,2018,7.14,5,1.428
1256,APAYAO,2018,12.37,63,0.196349206
1257,BENGUET,2018,65.5,64,1.0234375
1258,IFUGAO,2018,711.68,2200,0.323490909
1259,KALINGA,2018,800,2800,0.285714286
1260,MOUNTAIN PROVINCE,2018,38.63,55,0.702363636
1261,ILOCOS NORTE,2018,0.57,47,0.01212766
1262,ILOCOS SUR,2018,54,168,0.321428571
1263,LA UNION,2018,4.59,13,0.353076923
1264,PANGASINAN,2018,8.86,13,0.681538462
1265,CAGAYAN,2018,8.2,306,0.026797386
1266,ISABELA,2018,11.44,126,0.090793651
1267,NUEVA VIZCAYA,2018,535.01,1552,0.344722938
1268,QUIRINO,2018,26.92,1555,0.017311897
1269,AURORA,2018,131.7,820,0.160609756
1270,BATAAN,2018,255.75,340,0.752205882
1271,BULACAN,2018,645.05,200,3.22525
1272,ZAMBALES,2018,0.99,16,0.061875
1273,BATANGAS,2018,182.11,2300,0.079178261
1274,CAVITE,2018,1237.75,7600,0.162861842
1275,LAGUNA,2018,59.59,469,0.127057569
1276,QUEZON,2018,113.54,403,0.281736973
1277,RIZAL,2018,0.48,35,0.013714286
1278,MARINDUQUE,2018,19.99,137.74,0.145128503
1279,OCCIDENTAL MINDORO,2018,0,7,0
1280,ORIENTAL MINDORO,2018,17.06,121,0.140991736
1281,PALAWAN,2018,81.33,490,0.165979592
1282,ALBAY,2018,50.63,60,0.843833333
1283,CAMARINES NORTE,2018,17.53,27,0.649259259
1284,CAMARINES SUR,2018,10.68,112,0.095357143
1285,SORSOGON,2018,89.1,101,0.882178218
1286,AKLAN,2018,0,12,0
1287,ANTIQUE,2018,15.56,51,0.305098039
1288,CAPIZ,2018,872.51,1931,0.451843604
1289,GUIMARAS,2018,7.4,112,0.066071429
1290,ILOILO,2018,1868.96,3760,0.49706383
1291,NEGROS OCCIDENTAL,2018,650,2000,0.325
1292,BOHOL,2018,35.71,245,0.145755102
1293,CEBU,2018,5.43,428,0.012686916
1294,NEGROS ORIENTAL,2018,127.45,957,0.133176594
1295,BILIRAN,2018,1.87,26,0.071923077
1296,EASTERN SAMAR,2018,0.22,8,0.0275
1297,LEYTE,2018,8.97,14,0.640714286
1298,NORTHERN SAMAR,2018,3.72,11,0.338181818
1299,SAMAR,2018,3.65,8,0.45625
1300,SOUTHERN LEYTE,2018,3.2,20,0.16
1301,ABRA,2019,6.87,5,1.374
1302,APAYAO,2019,8.84,63,0.14031746
1303,BENGUET,2019,65.4,64,1.021875
1304,IFUGAO,2019,498.15,1500,0.3321
1305,KALINGA,2019,412.5,2500,0.165
1306,MOUNTAIN PROVINCE,2019,33.01,48.46,0.681180355
1307,ILOCOS NORTE,2019,0.86,47,0.018297872
1308,ILOCOS SUR,2019,53.52,168,0.318571429
1309,LA UNION,2019,4.84,13,0.372307692
1310,PANGASINAN,2019,8.35,13,0.642307692
1311,CAGAYAN,2019,7.39,281,0.026298932
1312,ISABELA,2019,10.66,130,0.082
1313,NUEVA VIZCAYA,2019,584.84,1585,0.368984227
1314,QUIRINO,2019,43.23,1600,0.02701875
1315,AURORA,2019,68.04,820,0.08297561
1316,BATAAN,2019,163.84,340,0.481882353
1317,BULACAN,2019,642.85,205,3.135853659
1318,ZAMBALES,2019,1.08,10.29,0.104956268
1319,BATANGAS,2019,243.35,2300,0.105804348
1320,CAVITE,2019,660.76,7600,0.086942105
1321,LAGUNA,2019,60.48,469,0.128955224
1322,QUEZON,2019,74.85,400,0.187125
1323,RIZAL,2019,0.85,37.4,0.022727273
1324,MARINDUQUE,2019,20.39,138,0.147753623
1325,OCCIDENTAL MINDORO,2019,0,7,0
1326,ORIENTAL MINDORO,2019,16.43,123,0.133577236
1327,PALAWAN,2019,80.98,490,0.165265306
1328,ALBAY,2019,55.31,65,0.850923077
1329,CAMARINES NORTE,2019,15.37,27,0.569259259
1330,CAMARINES SUR,2019,9.66,110,0.087818182
1331,SORSOGON,2019,74.97,101,0.742277228
1332,AKLAN,2019,0.4,12,0.033333333
1333,ANTIQUE,2019,18.09,52,0.347884615
1334,CAPIZ,2019,818.99,1931,0.424127395
1335,GUIMARAS,2019,7.59,115,0.066
1336,ILOILO,2019,1985.05,3760,0.52793883
1337,NEGROS OCCIDENTAL,2019,645.52,2000,0.32276
1338,BOHOL,2019,33.48,265,0.126339623
1339,CEBU,2019,5.14,428,0.012009346
1340,NEGROS ORIENTAL,2019,117.37,957,0.122643678
1341,BILIRAN,2019,2.57,28,0.091785714
1342,EASTERN SAMAR,2019,0.12,7,0.017142857
1343,LEYTE,2019,8.4,14,0.6
1344,NORTHERN SAMAR,2019,3.79,11,0.344545455
1345,SAMAR,2019,3.52,8,0.44
1346,SOUTHERN LEYTE,2019,3.73,23,0.162173913
1347,ABRA,2020,6.96,5,1.392
1348,APAYAO,2020,11.75,55,0.213636364
1349,BENGUET,2020,70.35,64,1.09921875
1350,IFUGAO,2020,358.47,1500,0.23898
1351,KALINGA,2020,790,2600,0.303846154
1352,MOUNTAIN PROVINCE,2020,28.99,48,0.603958333
1353,ILOCOS NORTE,2020,1.32,47.5,0.027789474
1354,ILOCOS SUR,2020,51.89,167.9,0.309053008
1355,LA UNION,2020,5.08,13,0.390769231
1356,PANGASINAN,2020,8.13,13,0.625384615
1357,CAGAYAN,2020,7.65,289,0.026470588
1358,ISABELA,2020,11.12,133,0.083609023
1359,NUEVA VIZCAYA,2020,658.83,1592,0.41383794
1360,QUIRINO,2020,57.72,1820,0.031714286
1361,AURORA,2020,1.23,820,0.0015
1362,BATAAN,2020,159.74,340,0.469823529
1363,BULACAN,2020,619.28,210,2.948952381
1364,ZAMBALES,2020,1.77,10.29,0.172011662
1365,BATANGAS,2020,174,2200,0.079090909
1366,CAVITE,2020,587.02,7600,0.077239474
1367,LAGUNA,2020,60.5,469,0.128997868
1368,QUEZON,2020,72.77,400,0.181925
1369,RIZAL,2020,0.72,40,0.018
1370,MARINDUQUE,2020,19.95,130,0.153461538
1371,OCCIDENTAL MINDORO,2020,0,7,0
1372,ORIENTAL MINDORO,2020,13.39,123,0.108861789
1373,PALAWAN,2020,75.23,490,0.153530612
1374,ALBAY,2020,41.58,45,0.924
1375,CAMARINES NORTE,2020,11.4,27,0.422222222
1376,CAMARINES SUR,2020,7.95,110,0.072272727
1377,SORSOGON,2020,59.01,80,0.737625
1378,AKLAN,2020,0.41,12,0.034166667
1379,ANTIQUE,2020,17.45,52,0.335576923
1380,CAPIZ,2020,792.25,1935,0.409431525
1381,GUIMARAS,2020,10.66,115.02,0.092679534
1382,ILOILO,2020,1892.42,3760,0.503303191
1383,NEGROS OCCIDENTAL,2020,663.07,2000,0.331535
1384,BOHOL,2020,17.35,271,0.06402214
1385,CEBU,2020,5.58,428,0.013037383
1386,NEGROS ORIENTAL,2020,78.04,957,0.081546499
1387,BILIRAN,2020,3.07,30,0.102333333
1388,EASTERN SAMAR,2020,0.1,7,0.014285714
1389,LEYTE,2020,8.42,14,0.601428571
1390,NORTHERN SAMAR,2020,3.74,11,0.34
1391,SAMAR,2020,3.5,9,0.388888889
1392,SOUTHERN LEYTE,2020,3.95,23,0.17173913
1393,ABRA,2021,6.43,5,1.286
1394,APAYAO,2021,10.27,60,0.171166667
1395,BENGUET,2021,73.12,64,1.1425
1396,IFUGAO,2021,279.41,1500,0.186273333
1397,KALINGA,2021,742,2600,0.285384615
1398,MOUNTAIN PROVINCE,2021,28.64,48,0.596666667
1399,ILOCOS NORTE,2021,1.27,48,0.026458333
1400,ILOCOS SUR,2021,53.82,167.9,0.320547945
1401,LA UNION,2021,4.89,13,0.376153846
1402,PANGASINAN,2021,8.47,13,0.651538462
1403,CAGAYAN,2021,7.19,289,0.024878893
1404,ISABELA,2021,12.2,133,0.091729323
1405,NUEVA VIZCAYA,2021,739.5,1615,0.457894737
1406,QUIRINO,2021,62.22,1825,0.034093151
1407,AURORA,2021,0.8,905,0.000883978
1408,BATAAN,2021,120.44,340,0.354235294
1409,BULACAN,2021,618.93,210,2.947285714
1410,ZAMBALES,2021,1.09,10.3,0.105825243
1411,BATANGAS,2021,208.21,2200,0.094640909
1412,CAVITE,2021,695.81,7550,0.092160265
1413,LAGUNA,2021,58.97,469,0.125735608
1414,QUEZON,2021,68.57,400,0.171425
1415,RIZAL,2021,0.69,38,0.018157895
1416,MARINDUQUE,2021,16.96,126,0.134603175
1417,OCCIDENTAL MINDORO,2021,0,7,0
1418,ORIENTAL MINDORO,2021,10.92,123,0.088780488
1419,PALAWAN,2021,78.41,490,0.160020408
1420,ALBAY,2021,32.04,44,0.728181818
1421,CAMARINES NORTE,2021,0,27,0
1422,CAMARINES SUR,2021,4.93,106,0.046509434
1423,MASBATE,2021,0.55,1.5,0.366666667
1424,SORSOGON,2021,42.71,72,0.593194444
1425,AKLAN,2021,0.43,12,0.035833333
1426,ANTIQUE,2021,17.99,52,0.345961538
1427,CAPIZ,2021,800.99,1935,0.41394832
1428,GUIMARAS,2021,12.87,117,0.11
1429,ILOILO,2021,1616.9,3760,0.430026596
1430,NEGROS OCCIDENTAL,2021,692.17,2000,0.346085
1431,BOHOL,2021,15.72,271,0.05800738
1432,CEBU,2021,5.5,428,0.012850467
1433,NEGROS ORIENTAL,2021,68.04,960,0.070875
1434,BILIRAN,2021,2.83,32,0.0884375
1435,EASTERN SAMAR,2021,0.06,7,0.008571429
1436,LEYTE,2021,7.9,14,0.564285714
1437,NORTHERN SAMAR,2021,3.77,10,0.377
1438,SAMAR,2021,3.72,9.2,0.404347826
1439,SOUTHERN LEYTE,2021,3.57,25,0.1428
