,surface_pressure (hPa),diffuse_radiation (W/m²),rain (mm),windgusts_10m (km/h),Yield (mt/ha)
150,1003.21,70.41,2335.9,12.2,0.375217391
151,1003.37,70.83,3349.1,13.0,0.362222222
152,1003.81,71.21,3605.5,11.9,0.333636364
153,1004.62,66.25,2325.2,20.5,0.324705882
154,1004.11,67.65,2456.9,13.3,0.23952381
155,1003.59,73.8,3601.3,11.5,0.233658537
156,1003.55,69.39,2129.3,13.7,0.227894737
157,1004.44,68.26,1909.2,13.7,0.222222222
158,1004.04,69.03,3292.0,13.3,0.201219512
159,1003.54,71.08,3979.0,12.2,0.209095951
160,963.8675,70.375,2079.575,11.5,0.50765609
161,964.09,74.775,1890.15,11.5,0.502372709
162,964.3725,75.66,1787.6,10.8,0.528095723
163,964.195,74.365,2445.9,10.8,0.5549389
164,963.99,72.6625,2141.475,10.1,0.551808081
165,963.805,74.1575,2749.8,9.4,0.525028571
166,963.1825,75.2575,3103.225,7.6,0.443071429
167,964.81,70.7075,2383.275,10.8,0.52637206
168,964.4975,69.6675,2307.1,9.7,0.510099786
169,963.1175,77.19,3615.025,9.4,0.856592878
170,962.9575,78.73,3181.625,11.2,0.433291796
171,963.2575,76.7975,2598.625,9.0,0.36691134
172,964.03,70.22,2047.9,11.2,0.358621997
173,963.915,74.7225,2738.9750000000004,8.6,0.44000709
174,963.7325,72.3125,2149.125,7.9,0.490880157
175,963.99,74.63499999999999,2537.1,7.9,0.949519849
176,963.7775,73.115,2451.95,8.6,0.896995798
177,963.29,74.5625,2892.2250000000004,10.4,0.751396624
178,963.2375,75.935,3202.9,7.9,0.709084746
179,963.25,74.81,2925.625,9.4,0.882547264
180,963.685,71.045,2739.45,8.3,0.908717277
181,962.9525,78.3275,3461.4,8.3,0.927886792
182,963.3375,75.1175,3022.325,10.4,0.937224274
183,963.435,74.4675,3365.05,8.6,0.956205263
184,963.71,74.49,2980.925,9.7,0.961378947
185,964.58,69.15,2294.75,10.4,0.967681388
186,964.2125,72.2325,2663.9,8.6,0.677075676
187,963.6025,77.375,3799.125,9.0,0.696379404
188,963.57,71.565,2284.5,14.0,0.652443385
189,964.4,70.495,2103.05,11.2,0.628006897
190,964.07,70.9325,2844.675,7.9,0.608233333
191,963.585,74.8825,3661.05,7.6,0.564780952
192,955.97,70.79,2278.1,14.0,1.246923488
193,956.17,75.32,2022.5,14.4,1.26093279
194,956.5,76.27,1897.5,16.9,1.117840043
195,956.3,74.85,2742.9,9.4,1.143355776
196,956.06,73.02,2157.4,15.1,1.180075758
197,955.89,75.06,2909.4,10.4,1.148398946
198,955.29,75.82,3161.1,10.1,1.16698574
199,956.9,71.3,2693.6,13.3,1.176095866
200,956.69,70.36,2360.2,10.8,1.166332858
201,955.21,77.95,3532.1,10.4,1.179420884
202,955.05,79.69,3212.9,11.2,1.200766215
203,955.35,77.41,2644.6,14.0,1.131671418
204,956.11,70.88,2177.0,19.1,1.156670418
205,956.0,75.33,2934.8,17.3,1.165973854
206,955.82,72.57,2325.8,11.9,1.149990527
207,956.11,75.6,2636.5,11.2,1.182510996
208,955.87,73.49,2581.8,13.7,1.177672497
209,955.41,74.88,3111.8,15.1,0.695638835
210,955.36,76.84,3201.2,10.1,0.653302913
211,955.35,75.35,3078.8,11.9,0.570535922
212,955.84,71.78,2642.7,11.5,0.564204916
213,955.06,78.96,3670.9,12.2,0.537573755
214,955.44,75.75,2984.3,13.3,0.494150142
215,955.53,75.23,3324.4,11.2,0.480805676
216,955.81,74.73,3261.6,9.7,0.468476901
217,956.66,69.57,2380.7,15.8,0.552232981
218,956.34,72.74,2735.1,13.3,0.540132042
219,955.72,78.03,4017.7,11.9,0.598588448
220,955.7,71.84,2511.0,14.0,0.578241877
221,956.53,70.68,2417.2,17.3,0.571109091
222,956.22,71.39,2884.0,10.4,0.59208
223,955.71,75.59,3859.9,10.8,0.615610909
224,904.81,75.96,5371.479824274001,13.3,0.967127447
225,904.69,77.49,5032.3,14.8,1.129585408
226,904.99,76.23,4600.5,18.4,1.232751286
227,905.8,71.69,3966.7,19.1,1.154560892
228,905.68,75.3,4773.4,16.6,1.131116694
229,905.47,73.02,3528.2,13.7,0.989053244
230,905.8,73.84,4399.6,11.9,1.018990861
231,905.54,74.13,4133.2,18.7,1.04005398
232,905.14,73.94,4793.2,19.4,0.995147923
233,905.02,75.22,4958.2,12.2,1.003899791
234,905.02,74.5,4851.1,15.5,1.008201016
235,905.71,70.2,4204.9,11.5,0.997648756
236,904.7,77.88,5371.479824274001,16.9,0.851908
237,905.13,74.73,4941.6,20.5,0.75298794
238,905.27,74.84,5124.1,17.3,0.25075591
239,905.46,74.1,5371.479824274001,13.0,0.184055571
240,906.36,68.45,4017.2,22.7,0.272510965
241,906.22,73.09,4120.5,14.4,0.273726847
242,905.47,76.18,5371.479824274001,11.9,0.262548054
243,905.48,72.3,3746.8,18.0,0.272135331
244,906.32,70.51,3834.8,14.8,0.273235776
245,906.15,71.05,4430.7,15.1,0.267707797
246,905.51,73.64,5318.8,13.0,0.236918754
247,1003.8,72.27,833.0,20.5,0.954256515
248,1004.08,76.08,845.4,18.0,0.976832465
249,1004.41,76.14,954.1,20.9,0.976392415
250,1004.23,74.43,1056.9,7.2,0.963191904
251,1003.88,73.35,1008.3,19.8,1.033435673
252,1003.85,74.9,1225.7,18.7,1.043720139
253,1003.14,75.66,1743.9,6.5,1.018331983
254,1004.86,69.9,1165.3,18.7,0.968072733
255,1004.59,71.8,1212.5,19.8,0.944891862
256,1003.08,77.06,2133.9,7.6,0.987570248
257,1002.88,78.2,1683.6,7.2,1.087980296
258,1003.1,77.33,1185.9,6.5,1.070161031
259,1003.99,72.0,972.5,7.2,1.044944
260,1003.86,75.29,1159.0,7.9,1.084035088
261,1003.55,73.75,884.5,8.6,1.077712934
262,1003.96,74.77,1239.4,7.2,1.065128205
263,1003.66,74.4,1191.0,6.5,1.045718954
264,1003.22,75.2,1374.7,16.6,1.047374582
265,1003.21,75.77,1592.7,7.6,1.040629252
266,1003.03,74.92,1588.4,7.9,1.025342466
267,1003.75,72.08,1483.5,6.8,1.036310345
268,1002.83,78.48,1752.2,7.2,1.040221843
269,1003.22,75.25,1374.3,17.6,1.038172589
270,1003.33,75.37,1835.2,6.8,1.008595318
271,1003.57,74.77,1703.9,7.6,0.961792453
272,1004.54,69.48,1541.7,20.2,0.96681182
273,1004.11,73.64,1197.9,6.8,0.965489614
274,1003.48,76.95,2100.7,7.6,0.962172662
275,1003.35,72.79,970.4,8.6,0.962660944
276,1004.36,71.7,1311.4,8.6,0.997922498
277,1004.07,72.19,1354.6,7.2,0.979304348
278,1003.46,74.51,1899.8,6.8,0.949237537
279,983.975,71.12,1935.7,11.2,1.414949224
280,984.195,74.9,1721.8,12.6,1.355104668
281,984.5,76.94,1807.75,13.3,1.375028571
282,984.3475,75.13,2295.25,11.9,1.302706415
283,984.1225,72.905,2041.65,11.2,1.363640523
284,983.92,74.89,2560.4,10.1,1.5146625
