,Wind_Direction,Wind_Speed_(km/h),temperature_2m (°C),relativehumidity_2m (%),Yield (mt/ha)
307,0,4.0,25.995,83.48,0.964867012
308,0,4.0,26.1625,81.37,0.959101393
309,0,4.0,26.08,83.285,1.078835578
310,0,1.8,25.58,86.3775,1.150386933
311,5,14.2,26.51,83.42,1.038589041
312,5,11.4,26.32,83.5,1.037508328
313,5,10.0,26.42,81.93,1.057144763
314,5,9.7,26.17,84.54,1.037256875
315,5,10.0,26.41,83.64,1.016857721
316,5,10.0,26.38,83.71,1.002292517
317,1,10.0,26.25,85.16,0.93037112
318,5,10.0,26.17,84.22,0.86896852
319,5,10.0,26.85,80.89,0.871580363
320,5,8.4,26.2,85.0,0.883740815
321,5,10.0,26.27,84.85,0.892704319
322,5,10.0,26.44,84.36,0.907092105
323,5,10.0,26.47,83.36,0.897746386
324,5,10.0,26.32,84.67,0.901931669
325,5,9.7,26.48,84.44,0.905
326,5,10.0,26.49,83.37,0.907203947
327,5,10.0,26.54,83.59,0.906578249
328,5,10.5,26.5,83.81,0.890485695
329,5,10.0,26.28,84.34,0.885605351
330,5,10.0,26.64,84.21,0.865558528
331,5,10.0,26.74,82.68,0.853712375
332,5,10.0,26.36,85.08,0.841508043
333,5,10.8,26.52,83.82,0.822086428
334,5,7.6,26.57,84.12,1.021817399
335,5,10.0,26.46,85.0,0.97032967
336,5,12.1,26.49,83.5,0.949628064
337,5,9.7,27.04,82.1,0.942782019
338,5,8.9,26.64,84.87,0.916444264
339,5,10.0,26.88,83.41,0.916043867
340,5,13.4,26.67,83.13,0.897887896
341,5,10.7,26.86,82.64,0.880299838
342,5,10.5,26.69,84.49,0.861685575
343,8,3.6,23.38,86.59,0.204188679
344,8,3.1,23.31,86.76,0.20005
345,8,3.6,23.3,85.59,0.19735
346,8,3.6,23.18,87.63,0.1982
347,8,3.1,23.22,87.27,0.199842105
348,8,3.1,23.27,88.43,0.202315789
349,6,3.1,23.16,88.59,0.400744681
350,8,3.1,23.19,87.01,0.320212766
351,8,3.6,23.88,85.54,0.314574468
352,8,4.1,23.1,88.62,0.68245
353,8,3.6,23.24,88.09,0.486219081
354,8,3.1,23.3,87.75,0.511908127
355,8,4.1,23.25,87.35,0.412972222
356,8,3.6,23.22,88.16,0.413239437
357,8,3.6,23.35,87.36,0.411605634
358,8,3.1,23.27,87.73,0.26717284
359,8,3.6,23.39,87.32,0.263345679
360,8,4.1,23.42,87.75,0.279691358
361,8,3.6,23.24,88.12,0.279301746
