,Wind_Direction,Wind_Speed_(km/h),rain (mm),weathercode (wmo code),Yield (mt/ha)
651,4,11.7,2576.4,51,0.811
652,4,9.2,3646.2,51,0.780671429
653,4,10.4,2726.3,51,0.605833333
654,4,12.5,2956.4,51,0.566041667
655,4,9.2,3544.0,1,0.537625
656,4,10.5,2498.1,51,0.6337875
657,4,8.7,2274.4,1,0.697591837
658,4,12.0,3372.8,51,0.571959184
659,4,10.2,2401.9,1,0.607869388
660,4,14.3,2017.3,1,0.645840816
661,4,14.3,2314.6,51,0.562816327
662,4,13.0,3031.7,51,0.539469388
663,4,14.8,1963.5,1,0.452087912
664,4,15.3,1294.3,1,0.493333333
665,4,14.8,1475.3,1,0.625789474
666,4,13.0,2112.2,1,0.641300813
667,4,16.1,2003.9,1,0.669609375
668,4,15.3,1991.4,1,0.716617647
669,4,15.3,2947.6,51,0.793216783
670,4,15.3,1745.9,1,0.833202614
671,4,14.3,1556.1,1,0.822875817
672,4,11.2,2998.2,1,0.834375
673,4,15.3,2241.8,1,0.8895625
674,4,14.8,2180.9,1,0.954539877
675,4,14.3,1938.2,1,0.813476395
676,4,14.8,2405.9,1,0.823991416
677,4,15.3,1619.7,1,0.749482289
678,4,12.0,2095.0,1,0.791409214
679,4,13.0,1908.3,1,0.833220779
680,4,14.3,2215.4,1,0.880975
681,4,13.0,2475.9,1,0.92297561
682,4,14.3,2577.3,1,0.972819277
683,4,14.8,2279.4,1,0.966619048
684,4,13.0,3186.0,1,0.960415512
685,4,13.0,2281.8,1,0.951726027
686,4,13.0,2380.5,1,0.958219178
687,4,8.7,2718.7,1,0.998864865
688,4,16.1,1890.1,1,1.03972973
689,4,11.5,1779.1,1,0.772486772
690,4,15.3,2915.9,1,0.475693582
691,4,14.3,2106.3,1,0.488571429
692,4,18.1,1540.2,1,0.464959677
693,4,14.8,2504.3,1,0.512686275
694,4,14.3,2957.3500000000004,1,0.406712062
695,5,6.0,2353.1,1,0.675961538
696,5,5.8,1834.6,1,0.67081761
697,5,7.6,1927.0,1,0.662229299
698,5,5.2,2235.85,1,0.679490446
699,5,6.6,2392.85,1,0.675443038
700,5,5.2,2654.3,1,0.700189873
701,1,5.2,2879.95,51,0.629607843
702,5,6.3,2207.3500000000004,1,0.700844156
703,7,4.0,2009.7,1,0.687254902
704,5,5.2,3153.7,51,0.689934211
705,5,5.2,2920.1,1,0.699230769
706,5,5.2,2623.1,1,0.759338235
707,5,6.0,2323.45,1,0.704814815
708,5,5.2,2612.3500000000004,1,0.659111111
709,5,4.7,2105.55,1,0.681259843
710,5,5.2,2886.8,1,0.685934959
711,5,6.3,2651.3500000000004,1,0.661525424
712,5,7.1,2718.3,1,0.597428571
713,5,5.2,2788.7,51,0.635402299
714,5,5.2,3100.8,1,0.686451613
715,5,3.4,2268.05,1,0.561764706
716,5,5.2,3466.05,51,0.571388889
717,5,5.2,3262.95,1,0.591666667
718,5,6.0,3173.65,1,0.691764706
719,5,5.2,2887.7,1,0.667857143
720,5,5.0,2340.2,1,0.637857143
721,5,6.0,2822.65,1,0.515
722,5,5.2,3321.4,1,0.430288462
723,5,5.2,2561.05,1,0.507619048
724,5,6.0,2168.9,1,0.4064
725,5,3.4,2767.15,1,0.267380952
726,5,4.7,3392.25,1,0.375714286
727,7,4.0,3392.0,1,0.640377358
728,7,2.5,2912.5,1,0.670188679
729,5,4.8,2287.5,1,0.582052495
730,5,4.5,2757.6,1,0.644123906
731,5,5.2,2243.6,1,0.694253961
732,5,5.2,3087.7,1,0.691511848
733,7,2.5,2715.6,1,0.740999526
734,7,5.4,3228.2,1,0.732439024
735,7,1.8,3282.3,1,0.753902439
736,5,3.4,3038.1,1,0.737073171
737,5,5.2,2956.1,1,0.736707317
738,7,2.9,3941.6,51,0.659146341
739,7,4.0,3509.9,1,0.816081081
740,5,5.2,3688.2,1,1.0878
741,3,4.0,2919.6,1,1.0142
742,5,5.2,2461.7,1,0.873548387
743,7,4.0,3044.9,1,0.860483871
744,7,4.0,3683.2,1,0.842096774
745,7,4.0,2665.7,1,0.847580645
746,7,4.0,2253.2,1,0.844761905
747,7,2.5,3017.7,1,0.87890625
748,5,5.2,3741.0,1,0.80796875
