,Wind_Direction,Wind_Speed_(km/h),rain (mm),weathercode (wmo code),Yield (mt/ha)
430,10,1.3,5356.7,51,0.845636099
431,11,4.7,4011.1,51,0.845577875
432,10,3.6,3406.5,1,0.870014556
433,10,3.6,4312.0,51,0.865174927
434,10,1.3,5371.479824274001,51,0.794619423
435,10,3.6,3503.6,1,0.816147565
436,10,3.1,3278.6,1,0.894714619
437,10,3.6,4820.6,51,0.928092603
438,10,3.1,4934.4,51,0.946039604
439,4,14.8,1963.5,1,0.088793103
440,4,15.3,1294.3,1,0.063706897
441,4,14.8,1475.3,1,0.06137931
442,4,13.0,2112.2,1,0.095391304
443,4,16.1,2003.9,1,0.095391304
444,4,15.3,1991.4,1,0.08745614
445,4,15.3,2947.6,51,0.086578947
446,4,15.3,1745.9,1,0.078508772
447,4,14.3,1556.1,1,0.0769
448,4,11.2,2998.2,1,0.0545
449,4,15.3,2241.8,1,0.065360825
450,4,14.8,2180.9,1,0.055051546
451,4,14.3,1938.2,1,0.042886598
452,4,14.8,2405.9,1,0.036597938
453,4,15.3,1619.7,1,0.034777778
454,4,12.0,2095.0,1,0.043142857
455,4,13.0,1908.3,1,0.041714286
456,4,14.3,2215.4,1,0.041343284
457,4,13.0,2475.9,1,0.078378378
458,4,14.3,2577.3,1,0.085405405
459,4,14.8,2279.4,1,0.101351351
460,4,13.0,3186.0,1,0.114594595
461,4,13.0,2281.8,1,0.132432432
462,4,13.0,2380.5,1,0.167297297
463,4,8.7,2718.7,1,0.206216216
464,4,16.1,1890.1,1,0.241081081
465,4,11.5,1779.1,1,0.240540541
466,4,15.3,2915.9,1,0.237179487
467,4,14.3,2106.3,1,0.233
468,4,18.1,1540.2,1,0.190909091
469,4,14.8,2504.3,1,0.21875
470,4,14.3,3151.9,1,0.256875
471,3,5.4,2003.1,1,0.656755824
472,3,4.0,1808.95,1,0.820949094
473,3,4.0,1774.05,1,0.821025887
474,3,4.0,2476.05,1,0.821641791
475,3,4.0,2127.15,1,0.739466951
476,3,4.0,3174.05,1,0.821394737
477,0,4.0,3536.9500000000003,51,0.821403509
478,3,4.0,2268.3,1,0.738538012
479,3,6.5,2474.7,1,0.821402439
480,3,4.0,4060.0,1,0.821384615
481,3,4.0,3471.75,1,0.821384615
482,3,5.4,2691.2,1,0.810128866
483,3,4.0,2071.75,1,0.82674359
484,3,5.4,2685.1,51,0.879410256
485,3,7.6,2129.6,1,0.819282051
486,3,5.4,2712.75,1,0.787948718
487,3,4.0,2325.15,1,0.779307692
488,3,4.0,2986.5,1,0.797675676
489,3,4.0,3522.15,1,0.806410256
490,3,4.0,3100.05,1,0.882282051
491,3,4.0,3360.25,1,0.933333333
492,3,4.0,3669.8,1,0.897974684
493,3,4.7,2862.15,1,0.596638655
494,3,4.0,3362.9,1,0.636201681
495,3,4.0,3298.4,1,0.616371237
