,weathercode (wmo code),temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),Yield (mt/ha)
54,3.0,24.17392694063927,87.63424657534246,21.92740867579909,0.571388888888889
55,3.0,24.258504098360657,87.21265938069217,21.92455601092896,0.5916666666666667
56,3.0,24.3889497716895,86.47454337899543,21.904954337899543,0.691764705882353
57,3.0,24.331050228310502,85.65262557077625,21.67655251141553,0.6678571428571428
58,1.0,24.600502283105023,83.78972602739726,21.53094748858448,0.6378571428571428
59,1.0,25.08507513661202,83.65266393442623,21.962841530054646,0.515
60,3.0,24.52216894977169,86.68127853881279,22.083390410958906,0.4302884615384615
61,1.0,24.639029680365297,85.71472602739726,21.99466894977169,0.5076190476190476
62,1.0,24.81360730593608,83.29189497716895,21.62719178082192,0.4064
63,1.0,24.923713570127504,83.49464936247723,21.79072176684882,0.2673809523809524
64,3.0,24.52912100456621,86.19429223744292,22.000513698630137,0.3757142857142857
65,51.0,24.48967551622419,86.25934119960668,21.96842428711897,0.0
66,1.0,27.19391552511416,81.19052511415525,23.61553652968037,0.0
67,1.0,27.083584474885846,81.12625570776255,23.49856164383561,0.0
68,1.0,26.98851320582878,81.36771402550092,23.45777550091075,0.0
69,1.0,26.9049200913242,82.15787671232877,23.54883561643836,0.0
70,1.0,26.891906392694064,82.3167808219178,23.570456621004567,0.0
71,1.0,27.020228310502283,82.15490867579909,23.659794520547944,0.0
72,51.0,26.87349726775956,82.53494990892531,23.596846539162115,0.0
73,1.0,26.9638698630137,81.27591324200914,23.420433789954338,0.0
74,1.0,27.52340182648402,81.0425799086758,23.90615296803653,0.0
75,51.0,26.79712328767123,83.07043378995434,23.637568493150685,0.0
76,1.0,26.883173952641165,83.18237704918033,23.746322859745,0.640377358490566
77,1.0,26.9675,82.83367579908676,23.75723744292237,0.670188679245283
78,1.0,27.13891552511416,81.07248858447488,23.547214611872143,0.5820524946795933
79,1.0,27.06478310502283,81.45102739726028,23.55601598173516,0.6441239063608418
80,1.0,27.071983151183968,82.08162568306011,23.698224043715847,0.6942539607472216
81,1.0,27.12939497716895,81.32922374429224,23.581746575342468,0.6915118478139949
