,weathercode (wmo code),rain (mm),windspeed_10m (km/h),Yield (mt/ha)
31,3.0,0.5442237442922374,5.532191780821917,0.4067120622568093
32,51.0,0.563716814159292,5.2202802359882,0.0
33,1.0,0.2778082191780822,5.624931506849316,0.6759615384615385
34,3.0,0.2370091324200913,5.349041095890411,0.6708176100628931
35,1.0,0.2482126593806922,4.886498178506376,0.6622292993630573
36,3.0,0.3026940639269406,4.911666666666666,0.6794904458598726
37,3.0,0.3026369863013698,4.970011415525114,0.6754430379746835
38,3.0,0.3444406392694064,4.763173515981736,0.7001898734177215
39,51.0,0.3515596539162113,5.01450364298725,0.6296078431372549
40,3.0,0.2854566210045662,5.067671232876712,0.7008441558441559
41,1.0,0.2650684931506849,4.334132420091324,0.6872549019607843
42,3.0,0.4095091324200913,4.527945205479452,0.6899342105263159
43,3.0,0.3714025500910747,4.4483265027322405,0.6992307692307692
44,3.0,0.3340296803652968,4.806974885844749,0.7593382352941176
45,3.0,0.2908219178082191,5.35681506849315,0.7048148148148149
46,3.0,0.3446232876712329,5.425262557077626,0.6591111111111111
47,3.0,0.2920765027322404,5.160006830601093,0.681259842519685
48,3.0,0.3497602739726027,4.840045662100457,0.6859349593495936
49,3.0,0.3229908675799087,4.605034246575342,0.6615254237288136
50,3.0,0.3463812785388128,4.885490867579909,0.5974285714285714
51,3.0,0.3732126593806922,4.499499089253187,0.6354022988505748
52,3.0,0.3770776255707762,5.0835045662100455,0.6864516129032259
53,1.0,0.3272716894977169,4.549486301369863,0.5617647058823529
54,3.0,0.4379109589041096,4.888333333333334,0.571388888888889
55,3.0,0.40492941712204,4.826377504553734,0.5916666666666667
56,3.0,0.400079908675799,4.842591324200913,0.691764705882353
57,3.0,0.3718607305936073,5.489417808219178,0.6678571428571428
58,1.0,0.2734474885844749,5.386084474885845,0.6378571428571428
59,1.0,0.3545195810564663,4.66905737704918,0.515
60,3.0,0.4293493150684931,4.911461187214612,0.4302884615384615
61,1.0,0.3309474885844748,5.1132762557077625,0.5076190476190476
62,1.0,0.2489383561643835,5.395114155251141,0.4064
63,1.0,0.3421334244080146,4.783128415300546,0.2673809523809524
64,3.0,0.4632077625570776,4.837522831050228,0.3757142857142857
65,51.0,0.4423180924287119,4.626720747295969,0.0
66,1.0,0.257568493150685,5.632009132420092,0.0
67,1.0,0.2293264840182648,5.341232876712328,0.0
68,1.0,0.2220969945355191,5.108652094717669,0.0
69,1.0,0.2685388127853881,5.048401826484018,0.0
70,1.0,0.2886986301369863,5.003116438356165,0.0
71,1.0,0.3514383561643835,4.919497716894978,0.0
72,51.0,0.3535405282331512,5.331728142076503,0.0
73,1.0,0.2638584474885845,5.207796803652968,0.0
74,1.0,0.2858561643835616,4.663892694063927,0.0
75,51.0,0.4196575342465753,5.0071004566210044,0.0
76,1.0,0.3861566484517304,4.930555555555555,0.640377358490566
77,1.0,0.3324771689497717,5.175239726027397,0.670188679245283
78,1.0,0.2611301369863014,5.522751141552512,0.5820524946795933
79,1.0,0.3147945205479452,5.505513698630137,0.6441239063608418
80,1.0,0.2554189435336976,5.378119307832423,0.6942539607472216
81,1.0,0.3524771689497716,5.05689497716895,0.6915118478139949
82,1.0,0.31,4.812420091324201,0.7409995262908574
83,1.0,0.3685159817351598,4.985753424657534,0.7324390243902439
84,1.0,0.3736680327868852,4.865846994535519,0.7539024390243902
85,1.0,0.3468150684931507,5.370194063926941,0.7370731707317073
86,1.0,0.3374543378995434,4.537488584474886,0.7367073170731707
87,51.0,0.4499543378995433,5.177705479452055,0.6591463414634146
88,1.0,0.3995787795992714,5.108060109289617,0.8160810810810811
89,1.0,0.4210273972602739,5.098333333333334,1.0878
90,1.0,0.3332876712328767,5.673630136986302,1.0142
91,1.0,0.2810159817351598,5.541130136986301,0.8735483870967742
92,1.0,0.346641621129326,4.822723132969035,0.8604838709677419
93,1.0,0.4204566210045662,5.213550228310502,0.8420967741935484
94,1.0,0.3043036529680365,5.363938356164383,0.8475806451612903
95,1.0,0.2572146118721461,5.583961187214612,0.8447619047619047
96,1.0,0.3435450819672131,4.922165300546449,0.87890625
97,1.0,0.4270547945205479,5.100159817351599,0.80796875
98,51.0,0.4470870206489675,4.935263028515242,0.0
99,1.0,0.2361529680365296,8.492945205479451,0.7
100,1.0,0.1630479452054794,7.948504566210045,0.65
101,1.0,0.1944672131147541,7.698622495446266,0.7000000000000001
102,1.0,0.2264383561643835,7.688744292237442,0.65
103,1.0,0.2662671232876712,8.017739726027397,0.699787226856699
104,51.0,0.2813013698630137,7.274109589041095,0.75
105,51.0,0.2969489981785064,8.070742258652094,0.8602530155928214
106,1.0,0.1826255707762557,7.626952054794521,0.9
107,1.0,0.2487100456621004,6.410810502283105,0.85
108,51.0,0.3624086757990867,7.595593607305935,0.7
109,51.0,0.3074795081967213,7.347700364298724,0.7
110,51.0,0.3014840182648401,7.798207762557078,0.8
111,1.0,0.197579908675799,8.482431506849316,1.446375
112,1.0,0.2446575342465753,8.364109589041096,1.19125
113,1.0,0.1999772313296903,8.61875,1.228235294117647
114,1.0,0.2827054794520548,7.7675,1.7228571428571429
115,1.0,0.2473173515981735,7.621917808219178,1.708157894736842
116,51.0,0.3027054794520548,7.670365296803652,1.4223684210526315
117,51.0,0.3270491803278689,7.142406648451731,1.391315789473684
118,1.0,0.2568036529680365,8.373367579908676,1.5261764705882352
119,51.0,0.301837899543379,6.512374429223745,1.5
120,51.0,0.3963584474885844,7.969098173515982,1.2597058823529412
121,51.0,0.3137750455373406,7.833948087431693,0.8538235294117648
122,51.0,0.3597488584474886,8.003481735159818,0.9625
123,1.0,0.2683789954337899,8.692157534246576,1.145
124,1.0,0.2145776255707762,8.376746575342466,0.8028571428571428
125,1.0,0.3046903460837887,7.203164845173042,0.7910714285714285
126,51.0,0.3680479452054794,7.904383561643835,0.7760714285714286
127,1.0,0.2394178082191781,8.213070776255707,0.7333333333333333
128,1.0,0.2153538812785388,8.24283105022831,0.6029411764705882
129,1.0,0.3392645719489982,7.314492258652095,0.6070588235294118
130,1.0,0.3476712328767123,7.920719178082192,0.6797222222222222
131,51.0,0.3913470993117011,7.476020157325467,0.0
132,3.0,0.2853767123287671,4.655445205479452,0.4541460163111669
133,3.0,0.2533904109589041,4.423196347031963,0.4532504705144291
134,1.0,0.2809881602914389,4.442406648451731,0.4297413522012579
135,3.0,0.3245776255707763,3.888458904109589,0.4207534408179316
136,3.0,0.2826598173515982,4.492317351598174,0.42
137,3.0,0.4005593607305936,4.034372146118721,0.4180601668492458
138,3.0,0.3834585610200364,4.230077413479052,0.4160723017813482
139,3.0,0.3311301369863013,3.982454337899544,0.4
140,3.0,0.3203424657534246,4.45027397260274,0.400189723320158
141,3.0,0.4722716894977169,4.07412100456621,0.4011620553359683
142,3.0,0.4019125683060109,4.181693989071039,0.4015248133509003
143,3.0,0.3561187214611872,4.296963470319635,0.4386
144,3.0,0.2920433789954338,4.407819634703197,0.4577857142857143
145,3.0,0.3686187214611872,4.192625570776256,0.44656
146,3.0,0.2913934426229508,4.260484972677595,0.4457561904761904
147,3.0,0.3518264840182648,4.082808219178083,0.4467712918660287
148,3.0,0.3265525114155251,4.430913242009133,0.4726507177033492
149,3.0,0.3684360730593607,4.294372146118721,0.4741626794258373
150,3.0,0.4147199453551912,4.082411202185792,0.4665071770334928
151,3.0,0.4005593607305936,4.570776255707763,0.4473684210526316
152,3.0,0.3264497716894977,4.002648401826484,0.5122222222222222
153,3.0,0.4572945205479452,3.994680365296804,0.505
154,3.0,0.4024248633879781,4.588091985428052,0.4366666666666666
155,3.0,0.415810502283105,4.213059360730594,0.4522222222222222
156,3.0,0.4021118721461187,4.386860730593607,0.4652222222222222
157,3.0,0.3197831050228311,4.2592694063926935,0.4681111111111111
158,3.0,0.3494877049180327,4.233948087431694,0.4863333333333333
159,3.0,0.4803881278538812,4.053858447488585,0.4978888888888889
160,3.0,0.3148401826484018,4.396392694063927,0.5086444444444445
161,3.0,0.2993378995433789,4.263287671232876,0.5193777777777777
162,3.0,0.385985883424408,3.942566029143898,0.4917517491491752
163,3.0,0.4767465753424658,3.999828767123288,0.5597080373001777
164,51.0,0.4962512291052114,3.963483284169125,0.0
165,1.0,0.1413356164383561,18.5036080736801,2.148085106382979
166,1.0,0.0969406392694064,18.5036080736801,1.8130708661417323
